Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
7/18/2024 16:00,3790984,37909.84,21430432.55
7/19/2024 16:00,3992252,39922.52,23614170.58
7/20/2024 16:00,3779441,37794.41,22483894.51
7/21/2024 16:00,3780019,37800.19,22634753.77
7/22/2024 16:00,3910164,39101.64,23152081.04
7/23/2024 16:00,3782643,37826.43,22143592.12
7/24/2024 16:00,3737226,37372.26,21806713.71
7/25/2024 16:00,3722976,37229.76,21027368.45
7/26/2024 16:00,3735573,37355.73,21614025.38
7/27/2024 16:00,3572896,35728.96,20912160.29
7/28/2024 16:00,3580394,35803.94,20784187.17
7/29/2024 16:00,3577173,35771.73,20844187.07
7/30/2024 16:00,3748479,37484.79,21520017.94
7/31/2024 16:00,3821644,38216.44,22433050.28
8/1/2024 16:00,3857953,38579.53,21577531.13
8/2/2024 16:00,3730382,37303.82,20841644.23
8/3/2024 16:00,3868265,38682.65,20559828.48
8/4/2024 16:00,4097518,40975.18,20549052.77
8/5/2024 16:00,4373055,43730.55,20194767.99
8/6/2024 16:00,5133684,51336.84,25042110.55
8/7/2024 16:00,4259168,42591.68,20473820.58
8/8/2024 16:00,3438181,34381.81,17153085.01
8/9/2024 16:00,3283132,32831.32,16468190.11
8/10/2024 16:00,3266379,32663.79,16798987.2
8/11/2024 16:00,3369580,33695.8,17525185.58
8/12/2024 16:00,3355123,33551.23,17439929.35
8/13/2024 16:00,3692355,36923.55,19096860.06
8/14/2024 16:00,3499809,34998.09,18366997.63
8/15/2024 16:00,3604977,36049.77,19146032.85
8/16/2024 16:00,3560285,35602.85,18331907.47
8/17/2024 16:00,3975073,39750.73,21234839.97
8/18/2024 16:00,3863773,38637.73,20818008.92
8/19/2024 16:00,3832146,38321.46,20831545.66
8/20/2024 16:00,4374039,43740.39,24564603.02
8/21/2024 16:00,4170171,41701.71,23106917.51
8/22/2024 16:00,4808365,48083.65,27907750.46
8/23/2024 16:00,4557458,45574.58,26451486.23
8/24/2024 16:00,4608033,46080.33,26662078.94
8/25/2024 16:00,4761890,47618.9,27380867.5
8/26/2024 16:00,4917818,49178.18,27480766.98
8/27/2024 16:00,5425352,54253.52,29937092.34
8/28/2024 16:00,4977352,49773.52,26554172.92
8/29/2024 16:00,5073152,50731.52,27476191.23
8/30/2024 16:00,5142857,51428.57,26922856.4
8/31/2024 16:00,5197436,51974.36,27842664.65
9/1/2024 16:00,5385886,53858.86,28033536.63
9/2/2024 16:00,5610919,56109.19,29294608.1
9/3/2024 16:00,5384515,53845.15,28096399.27
9/4/2024 16:00,5544197,55441.97,28208874.34
9/5/2024 16:00,5453263,54532.63,27348113.95
9/6/2024 16:00,4933236,49332.36,24296187.3
9/7/2024 16:00,4485731,44857.31,22334454.65
9/8/2024 16:00,4532707,45327.07,22273722.2
9/9/2024 16:00,4266780,42667.8,21594173.58
9/10/2024 16:00,4170311,41703.11,21447909.47
9/11/2024 16:00,4176075,41760.75,21623716.35
9/12/2024 16:00,4417156,44171.56,23640618.91
9/13/2024 16:00,4791193,47911.93,26519253.26
9/14/2024 16:00,4671888,46718.88,25742102.88
9/15/2024 16:00,5089443,50894.43,28567043.56
9/16/2024 16:00,5367295,53672.95,28720395.55
9/17/2024 16:00,4939019,49390.19,27164604.5
9/18/2024 16:00,4883611,48836.11,26298245.24
9/19/2024 16:00,5087514,50875.14,28754629.13
9/20/2024 16:00,4862172,48621.72,27704656.06
9/21/2024 16:00,5074075,50740.75,29607227.63
9/22/2024 16:00,5024328,50243.28,29161199.71
9/23/2024 16:00,5332303,53323.03,32031144.12
9/24/2024 16:00,8260555,82605.55,50092005.52
9/25/2024 16:00,8273177,82731.77,49084759.14
9/26/2024 16:00,8041639,80416.39,48386541.86
9/27/2024 16:00,5068378,50683.78,30871490.4
9/28/2024 16:00,5085826,50858.26,30570900.09
9/29/2024 16:00,5270799,52707.99,31466670.03
9/30/2024 16:00,5454524,54545.24,31145332.04
10/1/2024 16:00,5003025,50030.25,28122003.53
10/2/2024 16:00,4715136,47151.36,25895526.91
10/3/2024 16:00,4372941,43729.41,23666356.69
10/4/2024 16:00,4385759,43857.59,24275176.07
10/5/2024 16:00,4474625,44746.25,25277156.63
10/6/2024 16:00,4363457,43634.57,24753891.56
10/7/2024 16:00,4540116,45401.16,26137447.81
10/8/2024 16:00,4973249,49732.49,28740405.97
10/9/2024 16:00,5260492,52604.92,30563458.52
