Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 15:00:00,3762600,37626,21446820
2024-07-18 16:00:00,3790984,37909.84,21430432.552
2024-07-18 17:00:00,3849037,38490.37,21962605.122
2024-07-18 18:00:00,3836188,38361.88,21801056.404
2024-07-18 19:00:00,3832575,38325.75,21734532.825
2024-07-18 20:00:00,3824300,38243,21714375.4
2024-07-18 21:00:00,3803189,38031.89,21685783.678
2024-07-18 22:00:00,3796225,37962.25,21657463.625
2024-07-18 23:00:00,3787862,37878.62,21674146.364
2024-07-19 00:00:00,3781740,37817.4,21623989.32
2024-07-19 01:00:00,3782617,37826.17,21511742.879
2024-07-19 02:00:00,3762994,37629.94,21490458.734
2024-07-19 03:00:00,3756172,37561.72,21361350.164
2024-07-19 04:00:00,3743198,37431.98,21437294.946
2024-07-19 05:00:00,3733680,37336.8,21337981.2
2024-07-19 06:00:00,3732429,37324.29,21356958.738
2024-07-19 07:00:00,3756398,37563.98,21524160.54
2024-07-19 08:00:00,3739830,37398.3,21257193.72
2024-07-19 09:00:00,3759537,37595.37,21440639.511
2024-07-19 10:00:00,3786918,37869.18,21558924.174
2024-07-19 11:00:00,3777809,37778.09,21541066.918
2024-07-19 12:00:00,3766341,37663.41,21588666.612
2024-07-19 13:00:00,3819316,38193.16,21999260.16
2024-07-19 14:00:00,3835821,38358.21,22182552.843
2024-07-19 15:00:00,3749005,37490.05,21834205.12
2024-07-19 16:00:00,3992252,39922.52,23614170.58
2024-07-19 17:00:00,3878598,38785.98,23073779.502
2024-07-19 18:00:00,4011676,40116.76,23757145.272
2024-07-19 19:00:00,4000624,40006.24,23643687.84
2024-07-19 20:00:00,3930616,39306.16,23410748.896
2024-07-19 21:00:00,3960574,39605.74,23506006.69
2024-07-19 22:00:00,3922358,39223.58,23212514.644
2024-07-19 23:00:00,3909893,39098.93,23213034.741
2024-07-20 00:00:00,3933524,39335.24,23345464.94
2024-07-20 01:00:00,3838509,38385.09,22570432.92
2024-07-20 02:00:00,3775930,37759.3,22194916.54
2024-07-20 03:00:00,3769254,37692.54,22215983.076
2024-07-20 04:00:00,3773517,37735.17,22293938.436
2024-07-20 05:00:00,3779615,37796.15,22352643.11
2024-07-20 06:00:00,3767839,37678.39,22256624.973
2024-07-20 07:00:00,3762747,37627.47,22264173.999
2024-07-20 08:00:00,3787990,37879.9,22345353.01
2024-07-20 09:00:00,3774141,37741.41,22214593.926
2024-07-20 10:00:00,3774455,37744.55,22322126.87
2024-07-20 11:00:00,3754922,37549.22,22229138.24
2024-07-20 12:00:00,3739000,37390,22071317
2024-07-20 13:00:00,3758346,37583.46,22204308.168
2024-07-20 14:00:00,3720116,37201.16,21963564.864
2024-07-20 15:00:00,3747203,37472.03,22168452.948
2024-07-20 16:00:00,3779441,37794.41,22483894.509
2024-07-20 17:00:00,3751895,37518.95,22297511.985
2024-07-20 18:00:00,3730932,37309.32,22251278.448
2024-07-20 19:00:00,3716676,37166.76,22195989.072
2024-07-20 20:00:00,3701327,37013.27,22045103.612
2024-07-20 21:00:00,3697931,36979.31,22069252.208
2024-07-20 22:00:00,3673843,36738.43,21852018.164
2024-07-20 23:00:00,3673242,36732.42,21789671.544
2024-07-21 00:00:00,3651709,36517.09,21647330.952
2024-07-21 01:00:00,3647577,36475.77,21670254.957
2024-07-21 02:00:00,3677606,36776.06,21918531.76
2024-07-21 03:00:00,3694663,36946.63,22053443.447
