Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 16:00:00,2709795.90000000123,27097.9590000000123,1722489893.22270078185319
2024-07-18 20:00:00,2690211.20000000167,26902.1120000000167,1709424761.54880106115808
2024-07-19 00:00:00,2687161.90000000138,26871.6190000000138,1719133322.82020088286604
2024-07-19 04:00:00,2646950.60000000248,26469.5060000000248,1702468333.85860159508888
2024-07-19 08:00:00,2678951.50000000249,26789.5150000000249,1706867158.7100015864786
2024-07-19 12:00:00,2703982.5000000024,27039.825000000024,1733523180.75000153864
2024-07-19 16:00:00,2822803.49999999996,28228.0349999999996,1857912807.6299999736728
2024-07-19 20:00:00,2983073.6999999985,29830.736999999985,2005866485.059198991376
2024-07-20 00:00:00,2969690.59999999905,29696.9059999999905,1979833329.207999366654
2024-07-20 04:00:00,2962607.69999999798,29626.0769999999798,1973369288.10839865449416
2024-07-20 08:00:00,2950147.99999999885,29501.4799999999885,1963913523.599999234445
2024-07-20 12:00:00,2948559.1999999988,29485.591999999988,1960452783.691999202138
2024-07-20 16:00:00,2923164.99999999903,29231.6499999999903,1953121464.24499935189159
2024-07-20 20:00:00,2863073.49999999939,28630.7349999999939,1924918753.96099958988114
2024-07-21 00:00:00,2854974.09999999943,28549.7409999999943,1916958084.57449961727635
2024-07-21 04:00:00,2867641.99999999954,28676.4199999999954,1926289763.58599969100282
2024-07-21 08:00:00,2910372.9999999992,29103.729999999992,1941434158.6019994663408
2024-07-21 12:00:00,2896282.59999999941,28962.8259999999941,1937224957.53159960536906
2024-07-21 16:00:00,2917337.99999999841,29173.3799999999841,1959400894.3199989320924
2024-07-21 20:00:00,2778015.0999999987,27780.150999999987,1873404486.9567991233216
2024-07-22 00:00:00,2732018.89999999976,27320.1889999999976,1862425480.18669983639128
2024-07-22 04:00:00,2787274.89999999854,27872.7489999999854,1892144353.13989900887754
2024-07-22 08:00:00,2779150.19999999989,27791.5019999999989,1868622778.27439992603908
2024-07-22 12:00:00,2772896.80000000041,27728.9680000000041,1872811725.82320027691359
2024-07-22 16:00:00,2785675.60000000025,27856.7560000000025,1868374910.324800167677
2024-07-22 20:00:00,2711524.70000000066,27115.2470000000066,1849674708.67910045022098
2024-07-23 00:00:00,2667768.60000000166,26677.6860000000166,1802621914.09440112166864
2024-07-23 04:00:00,2679954.30000000073,26799.5430000000073,1808143726.57560049252516
2024-07-23 08:00:00,2738233.59999999905,27382.3359999999905,1822434110.71359936772655
2024-07-23 12:00:00,2714209.50000000033,27142.0950000000033,1809856608.27600022004664
2024-07-23 16:00:00,2606876.20000000221,26068.7620000000221,1735673815.21720147143126
2024-07-23 20:00:00,2573973.00000000285,25739.7300000000285,1685437520.40000186618
2024-07-24 00:00:00,2489946.00000000307,24899.4600000000307,1641870392.400002024358
2024-07-24 04:00:00,2479432.50000000192,24794.3250000000192,1637714754.9000012681984
2024-07-24 08:00:00,2495159.40000000154,24951.5940000000154,1648302299.640001017324
2024-07-24 12:00:00,2541387.10000000228,25413.8710000000228,1686487352.04390151302852
2024-07-24 16:00:00,2519135.60000000053,25191.3560000000053,1668426027.01560035101953
2024-07-24 20:00:00,2485550.7000000018,24855.507000000018,1632976983.2916011825784
2024-07-25 00:00:00,2416918.70000000303,24169.1870000000303,1580565736.13330198149577
2024-07-25 04:00:00,2371771.20000000369,23717.7120000000369,1520521170.37920236562579
2024-07-25 08:00:00,2401253.9000000031,24012.539000000031,1539203749.9000019871
2024-07-25 12:00:00,2416384.90000000211,24163.8490000000211,1549096031.6920013526788
2024-07-25 16:00:00,2509666.10000000034,25096.6610000000034,1624790458.79930022012042
2024-07-25 20:00:00,2432265.40000000222,24322.6540000000222,1573094402.36940143580942
2024-07-26 00:00:00,2368592.80000000459,23685.9280000000459,1558531693.80720302021541
2024-07-26 04:00:00,2382426.10000000236,23824.2610000000236,1597397640.64120158236112
2024-07-26 08:00:00,2386988.80000000438,23869.8880000000438,1597131819.09120293065362
2024-07-26 12:00:00,2544975.50000000404,25449.7550000000404,1713544729.0275027201522
2024-07-26 16:00:00,2573316.90000000327,25733.1690000000327,1738728469.72440220946052
2024-07-26 20:00:00,2504038.70000000436,25040.3870000000436,1702746316.0000029648
2024-07-27 00:00:00,2520768.30000000422,25207.6830000000422,1711853752.530002865802
2024-07-27 04:00:00,2540709.70000000358,25407.0970000000358,1722578310.21270242720778
2024-07-27 08:00:00,2595968.60000000312,25959.6860000000312,1766683834.76140212331288
2024-07-27 12:00:00,2638130.60000000192,26381.3060000000192,1799912088.20080130995456
2024-07-27 16:00:00,2711966.0000000026,27119.660000000026,1867782511.5540017906694
2024-07-27 20:00:00,2648795.60000000275,26487.9560000000275,1810001497.3480018791575
2024-07-28 00:00:00,2493898.70000000447,24938.9870000000447,1691175055.93750303121875
2024-07-28 04:00:00,2495932.10000000345,24959.3210000000345,1696382715.15390234482355
2024-07-28 08:00:00,2541971.80000000402,25419.7180000000402,1717073989.21020271546578
2024-07-28 12:00:00,2523159.90000000585,25231.5990000000585,1711825218.35550396890325
2024-07-28 16:00:00,2499063.40000000484,24990.6340000000484,1690803819.855003274623
2024-07-28 20:00:00,2531415.70000000509,25314.1570000000509,1724448471.73830346740471
2024-07-29 00:00:00,2530143.80000000493,25301.4380000000493,1727400016.28640336584904
2024-07-29 04:00:00,2654592.30000000332,26545.9230000000332,1841748173.96310230340604
2024-07-29 08:00:00,2737447.50000000275,27374.4750000000275,1904488762.35750191322175
2024-07-29 12:00:00,2765941.50000000251,27659.4150000000251,1924818689.850001746709
2024-07-29 16:00:00,2728795.10000000135,27287.9510000000135,1858091159.492000919242
2024-07-29 20:00:00,2611497.40000000257,26114.9740000000257,1757112076.12380172919109
2024-07-30 00:00:00,2603276.20000000235,26032.7620000000235,1738991104.87620156980235
2024-07-30 04:00:00,2721477.60000000249,27214.7760000000249,1813151793.26880165893262
2024-07-30 08:00:00,2745374.40000000163,27453.7440000000163,1837728914.99040109110733
2024-07-30 12:00:00,2699488.70000000129,26994.8870000000129,1797546333.51080085899036
2024-07-30 16:00:00,2724043.99999999978,27240.4399999999978,1804049895.83599985430082
2024-07-30 20:00:00,2626442.50000000067,26264.4250000000067,1729079023.23750044108445
2024-07-31 00:00:00,2606669.20000000214,26066.6920000000214,1725466430.25560141655802
2024-07-31 04:00:00,2632114.90000000104,26321.1490000000104,1739304158.03490068723304
2024-07-31 08:00:00,2615735.10000000017,26157.3510000000017,1732343810.55780011258726
2024-07-31 12:00:00,2660245.29999999915,26602.4529999999915,1758491309.6777994381279
2024-07-31 16:00:00,2572167.90000000106,25721.6790000000106,1707662268.810000703734
2024-07-31 20:00:00,2516784.80000000346,25167.8480000000346,1641562818.66080225677116
2024-08-01 00:00:00,2608777.10000000142,26087.7710000000142,1685932635.98340091768068
2024-08-01 04:00:00,2673896.10000000029,26738.9610000000029,1709817513.35280018543992
2024-08-01 08:00:00,2640917.4999999996,26409.174999999996,1698479680.949999742744
2024-08-01 12:00:00,2642034.0999999997,26420.340999999997,1708606094.5040998059897
2024-08-01 16:00:00,2596245.80000000074,25962.4580000000074,1634422407.21140046585442
2024-08-01 20:00:00,2665498.69999999951,26654.9869999999951,1691418855.0719996890656
2024-08-02 00:00:00,2469386.10000000022,24693.8610000000022,1614817999.3035001438657
2024-08-02 04:00:00,2415969.20000000247,24159.6920000000247,1560955284.15080159586453
2024-08-02 08:00:00,2427530.00000000002,24275.3000000000002,1557675602.63000001283342
2024-08-02 12:00:00,2436457.49999999973,24364.5749999999973,1575766705.83749982537885
2024-08-02 16:00:00,2462301.8000000025,24623.018000000025,1562273859.1586015861925
2024-08-02 20:00:00,2446370.00000000094,24463.7000000000094,1533727207.8000005893236
2024-08-03 00:00:00,2406122.20000000242,24061.2220000000242,1479601536.69040148813544
2024-08-03 04:00:00,2362452.900000002,23624.52900000002,1461049546.193401236892
2024-08-03 08:00:00,2391999.80000000149,23919.9980000000149,1475203684.65520091891876
2024-08-03 12:00:00,2392147.60000000084,23921.4760000000084,1481098186.540000520086
2024-08-03 16:00:00,2369703.20000000174,23697.0320000000174,1442445446.94960105914322
2024-08-03 20:00:00,2333269.00000000165,23332.6900000000165,1406466553.9720009946002
2024-08-04 00:00:00,2283230.10000000126,22832.3010000000126,1386290553.97620076502412
2024-08-04 04:00:00,2311217.60000000155,23112.1760000000155,1404090115.39360094164205
2024-08-04 08:00:00,2330526.80000000121,23305.2680000000121,1406925045.99920073046974
2024-08-04 12:00:00,2364476.30000000113,23644.7630000000113,1440001533.84450068818695
2024-08-04 16:00:00,2353501.20000000081,23535.0120000000081,1390168442.31720047845161
2024-08-04 20:00:00,2350144.49999999915,23501.4449999999915,1392317257.43549949642685
2024-08-05 00:00:00,2281586.19999999957,22815.8619999999957,1326746938.47239974995414
2024-08-05 04:00:00,2158767.69999999811,21587.6769999999811,1165367567.4909989797213
2024-08-05 08:00:00,2149256.09999999683,21492.5609999999683,1131256649.72279833147684
2024-08-05 12:00:00,2158216.99999999774,21582.1699999999774,1109096925.2149988385973
2024-08-05 16:00:00,2163801.70000000135,21638.0170000000135,1174704141.11130073290015
2024-08-05 20:00:00,2046317.80000000149,20463.1780000000149,1093963542.19780079655549
2024-08-06 00:00:00,1971960.60000000037,19719.6060000000037,1064247416.2140001996853
2024-08-06 04:00:00,2041639.30000000115,20416.3930000000115,1136515265.8524006401682
2024-08-06 08:00:00,2113396.00000000081,21133.9600000000081,1184976910.40800045416538
2024-08-06 12:00:00,2058541.30000000153,20585.4130000000153,1136963238.10950084504195
2024-08-06 16:00:00,2090546.20000000264,20905.4620000000264,1177836725.08820148740504
2024-08-06 20:00:00,2122901.40000000188,21229.0140000000188,1205491682.89140106755988
2024-08-07 00:00:00,2085356.60000000186,20853.5660000000186,1168677631.12860104238306
2024-08-07 04:00:00,2131599.40000000275,21315.9940000000275,1212072182.42740156370775
2024-08-07 08:00:00,2179263.20000000284,21792.6320000000284,1240770040.70960161696252
2024-08-07 12:00:00,2237856.30000000205,22378.5630000000205,1274524060.68270116753445
2024-08-07 16:00:00,2209227.80000000386,22092.2780000000386,1239672832.32520216597724
2024-08-07 20:00:00,2122291.00000000384,21222.9100000000384,1163376257.4700021049728
2024-08-08 00:00:00,2082627.40000000137,20826.2740000000137,1146621754.48100075427405
2024-08-08 04:00:00,2095221.30000000174,20952.2130000000174,1196528503.8975009936705
2024-08-08 08:00:00,2144516.09999999861,21445.1609999999861,1226275051.78589920517159
2024-08-08 12:00:00,2202614.90000000074,22026.1490000000074,1262851631.99580042427308
2024-08-08 16:00:00,2238822.50000000315,22388.2250000000315,1331297889.0450018731223
2024-08-08 20:00:00,2199338.80000000269,21993.3880000000269,1304078147.41080159501129
2024-08-09 00:00:00,2057338.90000000099,20573.3890000000099,1269351355.89430061081713
2024-08-09 04:00:00,2136793.8000000014,21367.938000000014,1311183685.1436008590708
2024-08-09 08:00:00,2150052.50000000175,21500.5250000000175,1308661704.91250106516375
2024-08-09 12:00:00,2061094.50000000176,20610.9450000000176,1250754586.3800010680384
2024-08-09 16:00:00,2015847.80000000151,20158.4780000000151,1205517301.3560009030102
2024-08-09 20:00:00,1989768.0000000015,19897.680000000015,1206949493.904000909867
2024-08-10 00:00:00,1966158.10000000159,19661.5810000000159,1195911732.00880096711432
2024-08-10 04:00:00,1960291.500000001,19602.91500000001,1184751175.312500604375
2024-08-10 08:00:00,1978166.1000000018,19781.661000000018,1203555818.562001095156
2024-08-10 12:00:00,2017793.50000000088,20177.9350000000088,1229151017.28600053605728
2024-08-10 16:00:00,2005377.40000000183,20053.7740000000183,1213419773.32420110730189
2024-08-10 20:00:00,2020310.20000000144,20203.1020000000144,1232730654.42380087864336
2024-08-11 00:00:00,2011384.40000000118,20113.8440000000118,1225325319.5580007188501
2024-08-11 04:00:00,2002586.50000000059,20025.8650000000059,1223287973.87100036040386
2024-08-11 08:00:00,2018503.50000000044,20185.0350000000044,1236280912.65900026948856
2024-08-11 12:00:00,2047202.70000000183,20472.0270000000183,1242218031.92760111042204
2024-08-11 16:00:00,2028427.90000000287,20284.2790000000287,1219454341.77780172539234
2024-08-11 20:00:00,2009428.40000000214,20094.2840000000214,1199110322.27280127702788
2024-08-12 00:00:00,1954855.40000000285,19548.5540000000285,1147981014.2284016736511
2024-08-12 04:00:00,1987103.7000000029,19871.037000000029,1162970324.3583016972511
2024-08-12 08:00:00,1966872.30000000233,19668.7230000000233,1154481265.82490136762379
2024-08-12 12:00:00,1960285.90000000273,19602.8590000000273,1172939028.55090163349823
2024-08-12 16:00:00,1904070.6000000009,19040.706000000009,1145943945.8334005416551
2024-08-12 20:00:00,1840448.10000000083,18404.4810000000083,1085166849.17010048938543
2024-08-13 00:00:00,1822286.70000000187,18222.8670000000187,1081507111.29630110982443
2024-08-13 04:00:00,1870299.00000000153,18702.9900000000153,1103775657.8400009029448
2024-08-13 08:00:00,1899160.10000000143,18991.6010000000143,1124722493.58210084687603
2024-08-13 12:00:00,1968051.60000000043,19680.5160000000043,1157527261.00440025290837
2024-08-13 16:00:00,1964832.80000000231,19648.3280000000231,1169065691.83600137443845
2024-08-13 20:00:00,1947221.60000000307,19472.2160000000307,1185211476.82880186861076
2024-08-14 00:00:00,1969921.00000000338,19699.2100000000338,1193870622.050002048449
2024-08-14 04:00:00,1973498.60000000229,19734.9860000000229,1203123686.5040013960756
2024-08-14 08:00:00,2009616.1000000017,20096.161000000017,1224244060.8073010356281
2024-08-14 12:00:00,2006423.60000000401,20064.2360000000401,1229109013.85320245647387
2024-08-14 16:00:00,2033571.30000000043,20335.7130000000043,1208463980.02410025553051
2024-08-14 20:00:00,2044773.700000001,20447.73700000001,1204694783.544600589158
2024-08-15 00:00:00,2066018.70000000106,20660.1870000000106,1212463734.2820006220716
2024-08-15 04:00:00,2095888.90000000177,20958.8890000000177,1225019815.49430103454199
2024-08-15 08:00:00,2135981.90000000328,21359.8190000000328,1240151091.140001904368
2024-08-15 12:00:00,2117139.50000000236,21171.3950000000236,1243603508.02100138625928
2024-08-15 16:00:00,2106005.90000000144,21060.0590000000144,1256765338.84270085932432
