Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-08-11 16:00:00,2728179.20000000251,272817.920000000251,712976895.76960065595838
2024-08-12 16:00:00,2744653.80000000142,274465.380000000142,737908408.09140038177126
2024-08-13 16:00:00,2696970.59999999945,269697.059999999945,715366057.7087998541136
2024-08-14 16:00:00,2851197.89999999894,285119.789999999894,762624158.3024997164765
2024-08-15 16:00:00,2836808.70000000021,283680.870000000021,756891766.05570005603031
2024-08-16 16:00:00,2865692.499999999,286569.2499999999,736365479.107499743041
2024-08-17 16:00:00,2801312.59999999759,280131.259999999759,730246168.5679993717612
2024-08-18 16:00:00,2840144.99999999905,284014.499999999905,758824260.8099997461809
2024-08-19 16:00:00,2962567.29999999808,296256.729999999808,765613304.77169950381632
2024-08-20 16:00:00,3046734.99999999958,304673.499999999958,784534262.49999989185
2024-08-21 16:00:00,2958111.09999999895,295811.109999999895,770002235.5521997266829
2024-08-22 16:00:00,2968762.1999999986,296876.21999999986,771578327.0177996361414
2024-08-23 16:00:00,2905311.89999999783,290531.189999999783,775886785.39019942048414
2024-08-24 16:00:00,2979088.09999999934,297908.809999999934,822672199.72689981774166
2024-08-25 16:00:00,2819656.19999999987,281965.619999999987,779152778.08979996407723
2024-08-26 16:00:00,2960108.89999999925,296010.889999999925,806037653.469999795775
2024-08-27 16:00:00,3195921.99999999832,319592.199999999832,824384883.97799956664568
2024-08-28 16:00:00,2926415.39999999916,292641.539999999916,730960038.6119997901848
2024-08-29 16:00:00,2980458.49999999872,298045.849999999872,767843601.52099967023872
2024-08-30 16:00:00,3156516.59999999901,315651.659999999901,773005663.20719975755692
2024-08-31 16:00:00,3036835.29999999665,303683.529999999665,764915038.52869915620535
2024-09-01 16:00:00,3025419.39999999827,302541.939999999827,750095257.26139957107937
2024-09-02 16:00:00,3152637.1999999999,315263.71999999999,792446886.591999974864
2024-09-03 16:00:00,3306279.09999999731,330627.909999999731,807839703.89849934273885
2024-09-04 16:00:00,3116280.00000000074,311628.000000000074,765358368.000000181744
2024-09-05 16:00:00,3226526.29999999836,322652.629999999836,765173938.57129961107236
2024-09-06 16:00:00,3310168.59999999793,331016.859999999793,758035229.73719952596586
2024-09-07 16:00:00,3326865.1999999995,332686.51999999995,765541624.3067998849455
2024-09-08 16:00:00,3323241.69999999935,332324.169999999935,745449638.6937998541959
2024-09-09 16:00:00,3307243.7999999987,330724.37999999987,758354310.5837997019087
2024-09-10 16:00:00,3320510.89999999791,332051.089999999791,772397322.49259951383674
2024-09-11 16:00:00,3246823.79999999894,324682.379999999894,755000172.3329997535129
2024-09-12 16:00:00,3344615.69999999738,334461.569999999738,776736827.0894993915443
2024-09-13 16:00:00,3095969.49999999814,309596.949999999814,745295833.70449955224034
2024-09-14 16:00:00,3465756.89999999788,346575.689999999788,838442840.76179948712536
2024-09-15 16:00:00,3309326.49999999701,330932.649999999701,797236609.80899927969106
2024-09-16 16:00:00,3549952.19999999621,354995.219999999621,812530809.29699913252585
2024-09-17 16:00:00,3434535.89999999572,343453.589999999572,818789924.02409897965228
2024-09-18 16:00:00,3483975.39999999624,348397.539999999624,800627998.84619913594072
2024-09-19 16:00:00,3613387.69999999443,361338.769999999443,881771387.04329864075847
2024-09-20 16:00:00,3360027.89999999628,336002.789999999628,860170502.42789904767628
2024-09-21 16:00:00,3431379.99999999744,343137.999999999744,878282299.27999934475264
2024-09-22 16:00:00,3395202.39999999633,339520.239999999633,872994812.30239905634758
2024-09-23 16:00:00,3480790.899999993,348079.0899999993,931111565.7499981275
2024-09-24 16:00:00,3806699.59999999396,380669.959999999396,994648731.78439842181444
2024-09-25 16:00:00,3754202.79999999396,375420.279999999396,976231633.50359842937652
2024-09-26 16:00:00,3520743.6999999964,352074.36999999964,933817413.7820990451612
2024-09-27 16:00:00,3500579.49999999607,350057.949999999607,939552037.22049894519193
2024-09-28 16:00:00,3589352.49999999701,358935.249999999701,958403779.08249920163113
2024-09-29 16:00:00,3692131.09999999387,369213.109999999387,984407070.27529836560101
2024-09-30 16:00:00,3672200.89999999413,367220.089999999413,952741506.90229847704611
2024-10-01 16:00:00,3653379.49999999603,365337.949999999603,923804500.50849899613389
2024-10-02 16:00:00,3815720.69999999462,381572.069999999462,938518479.09269867672982
2024-10-03 16:00:00,4024715.1999999956,402471.51999999956,941678714.2047989705144
2024-10-04 16:00:00,3884320.79999999703,388432.079999999703,938471326.88399928243315
2024-10-05 16:00:00,3812774.99999999734,381277.499999999734,921151188.89999935735464
2024-10-06 16:00:00,3832656.99999999859,383265.699999999859,938019804.80799965491096
2024-10-07 16:00:00,3615693.09999999557,361569.309999999557,894703257.5949989037965
2024-10-08 16:00:00,3980797.99999999623,398079.799999999623,963110287.32199908788997
2024-10-09 16:00:00,3764169.89999999612,376416.989999999612,926343391.5404990451514
