Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-08-10 19:00:00,441115.799999999836,4411157999999.99836,37336041.31199998611904
2024-08-10 20:00:00,445299.399999999754,4452993999999.99754,37583269.3599999792376
2024-08-10 21:00:00,444834.899999999829,4448348999999.99829,37548513.90899998556589
2024-08-10 22:00:00,439949.099999999842,4399490999999.99842,37351678.5899999865858
2024-08-10 23:00:00,437082.79999999985,4370827999999.9985,36889788.31999998734
2024-08-11 00:00:00,439087.69999999982,4390876999999.9982,37023874.8639999848224
2024-08-11 01:00:00,438023.399999999821,4380233999999.99821,37328354.14799998474562
2024-08-11 02:00:00,451869.19999999975,4518691999999.9975,38910456.8119999784725
2024-08-11 03:00:00,461011.69999999957,4610116999999.9957,39656226.4339999630114
2024-08-11 04:00:00,482317.699999999865,4823176999999.99865,42111158.38699998821315
2024-08-11 05:00:00,483382.799999999946,4833827999999.99946,41764273.9199999953344
2024-08-11 06:00:00,484840.49999999989,4848404999999.9989,41972642.0849999904773
2024-08-11 07:00:00,493719.699999999905,4937196999999.99905,42351275.8659999918509
2024-08-11 08:00:00,497850.899999999866,4978508999999.99866,42984446.70599998843044
2024-08-11 09:00:00,499310.399999999889,4993103999999.99889,43235287.53599999038851
2024-08-11 10:00:00,495747.89999999992,4957478999999.9992,42520297.3829999931384
2024-08-11 11:00:00,489712.69999999995,4897126999999.9995,41767596.1829999957355
2024-08-11 12:00:00,489696.799999999894,4896967999999.99894,41403864.4399999910377
2024-08-11 13:00:00,484319.19999999986,4843191999999.9986,40629537.6879999882554
2024-08-11 14:00:00,475826.499999999775,4758264999999.99775,39641105.71499998125525
2024-08-11 15:00:00,469030.499999999809,4690304999999.99809,38277579.10499998441249
2024-08-11 16:00:00,464954.499999999871,4649544999999.99871,37368393.16499998963227
2024-08-11 17:00:00,469540.399999999872,4695403999999.99872,37929473.51199998966016
2024-08-11 18:00:00,468753.39999999991,4687533999999.9991,37922150.059999992719
2024-08-11 19:00:00,456896.199999999904,4568961999999.99904,36935488.80799999223936
2024-08-11 20:00:00,434524.699999999949,4345246999999.99949,34171022.40799999598936
2024-08-11 21:00:00,429276.899999999919,4292768999999.99919,33303301.90199999371602
2024-08-11 22:00:00,419689.39999999989,4196893999999.9989,32769348.3519999914112
2024-08-11 23:00:00,415940.099999999954,4159400999999.99954,32197923.14099999643914
2024-08-12 00:00:00,421608.399999999892,4216083999999.99892,32552384.56399999166132
2024-08-12 01:00:00,429206.299999999908,4292062999999.99908,33709862.80199999277432
2024-08-12 02:00:00,436381.29999999986,4363812999999.9986,34321389.244999988989
2024-08-12 03:00:00,439566.799999999792,4395667999999.99792,34593907.1599999836304
2024-08-12 04:00:00,441007.799999999765,4410077999999.99765,34552961.12999998158775
2024-08-12 05:00:00,445438.599999999804,4454385999999.99804,34851116.06399998466496
2024-08-12 06:00:00,442013.09999999983,4420130999999.9983,34773170.5769999866261
2024-08-12 07:00:00,436082.699999999835,4360826999999.99835,34092945.4859999871003
2024-08-12 08:00:00,450555.29999999999,4505552999999.9999,36152557.2719999991976
2024-08-12 09:00:00,455636.49999999992,4556364999999.9992,36674181.8849999935608
2024-08-12 10:00:00,465973.900000000018,4659739000000.00018,38056088.41300000147006
2024-08-12 11:00:00,477843.69999999992,4778436999999.9992,39407769.9389999934024
2024-08-12 12:00:00,480497.299999999925,4804972999999.99925,40683706.39099999364975
2024-08-12 13:00:00,461259.599999999944,4612595999999.99944,38755031.59199999529488
2024-08-12 14:00:00,444390.09999999976,4443900999999.9976,35657861.6239999807424
2024-08-12 15:00:00,449887.899999999736,4498878999999.99736,37696107.14099997787944
2024-08-12 16:00:00,437614.199999999818,4376141999999.99818,36129428.35199998497408
2024-08-12 17:00:00,440694.59999999978,4406945999999.9978,36185433.6059999819358
2024-08-12 18:00:00,433041.899999999754,4330418999999.99754,35080724.31899998007154
2024-08-12 19:00:00,446920.599999999901,4469205999999.99901,35583818.17199999211762
2024-08-12 20:00:00,439745.299999999807,4397452999999.99807,35192816.35899998455421
2024-08-12 21:00:00,440286.499999999891,4402864999999.99891,35451868.97999999122332
2024-08-12 22:00:00,435174.099999999866,4351740999999.99866,35061977.23699998920362
2024-08-12 23:00:00,432973.199999999799,4329731999999.99799,35066499.46799998372101
2024-08-13 00:00:00,431071.799999999955,4310717999999.99955,35494452.0119999962947
2024-08-13 01:00:00,441206.399999999905,4412063999999.99905,36527477.85599999213495
2024-08-13 02:00:00,440567.299999999915,4405672999999.99915,36285122.8279999929994
2024-08-13 03:00:00,437919.699999999999,4379196999999.99999,35712351.53499999991845
2024-08-13 04:00:00,445690.399999999975,4456903999999.99975,35722085.55999999799625
2024-08-13 05:00:00,442256.499999999955,4422564999999.99955,35583957.9899999963793
2024-08-13 06:00:00,443642.799999999846,4436427999999.99846,35660008.26399998762148
2024-08-13 07:00:00,442913.19999999989,4429131999999.9989,35884827.4639999910878
2024-08-13 08:00:00,453165.09999999999,4531650999999.9999,36452600.6439999991956
2024-08-13 09:00:00,452497.699999999949,4524976999999.99949,36272215.63199999591184
2024-08-13 10:00:00,458888.999999999954,4588889999999.99954,36683586.65999999632276
2024-08-13 11:00:00,453115.400000000048,4531154000000.00048,36244700.84600000383952
2024-08-13 12:00:00,458564.600000000006,4585646000000.00006,36822737.3800000004818
2024-08-13 13:00:00,456515.09999999987,4565150999999.9987,36927506.4389999894843
2024-08-13 14:00:00,463136.999999999901,4631369999999.99901,37625249.87999999195724
2024-08-13 15:00:00,455414.19999999992,4554141999999.9992,36770142.5079999935408
2024-08-13 16:00:00,464748.499999999904,4647484999999.99904,37398311.79499999227488
2024-08-13 17:00:00,456662.999999999865,4566629999999.99865,38081127.56999998874235
2024-08-13 18:00:00,463696.699999999835,4636966999999.99835,38389449.79299998633965
2024-08-13 19:00:00,459756.7999999999,4597567999999.999,37612703.807999991819
2024-08-13 20:00:00,447498.8999999999,4474988999999.999,36529335.206999991837
2024-08-13 21:00:00,443984.59999999986,4439845999999.9986,36153665.9779999885998
2024-08-13 22:00:00,436836.099999999894,4368360999999.99894,36065188.41599999124864
2024-08-13 23:00:00,440309.29999999993,4403092999999.9993,36109765.6929999942593
2024-08-14 00:00:00,447977.099999999926,4479770999999.99926,36671405.40599999394236
2024-08-14 01:00:00,447022.699999999876,4470226999999.99876,36821259.79899998978612
2024-08-14 02:00:00,439298.099999999924,4392980999999.99924,35666612.73899999382956
2024-08-14 03:00:00,438453.29999999988,4384532999999.9988,35904940.7369999901732
2024-08-14 04:00:00,444553.999999999815,4445539999999.99815,36311170.7199999848892
2024-08-14 05:00:00,450418.299999999809,4504182999999.99809,36677562.16899998444687
2024-08-14 06:00:00,460558.799999999866,4605587999999.99866,37512514.2599999890857
2024-08-14 07:00:00,470685.499999999806,4706854999999.99806,38586797.28999998409588
2024-08-14 08:00:00,481550.89999999982,4815508999999.9982,39520882.3629999852274
2024-08-14 09:00:00,484757.099999999844,4847570999999.99844,39730691.91599998721424
2024-08-14 10:00:00,478964.799999999816,4789647999999.99816,39217637.82399998493408
2024-08-14 11:00:00,476331.299999999814,4763312999999.99814,39311622.18899998464942
2024-08-14 12:00:00,477543.099999999836,4775430999999.99836,39535793.24899998642244
2024-08-14 13:00:00,481697.59999999993,4816975999999.9993,40019436.6079999941844
2024-08-14 14:00:00,471112.399999999942,4711123999999.99942,37820903.47199999534376
2024-08-14 15:00:00,485476.99999999989,4854769999999.9989,38969238.7899999911703
2024-08-14 16:00:00,483876.899999999856,4838768999999.99856,39155318.74799998834752
2024-08-14 17:00:00,480694.09999999978,4806940999999.9978,38623770.934999982323
2024-08-14 18:00:00,481096.799999999878,4810967999999.99878,38641694.97599999020096
2024-08-14 19:00:00,478454.299999999884,4784542999999.99884,38333758.51599999070608
2024-08-14 20:00:00,474583.299999999879,4745832999999.99879,37947680.66799999032484
2024-08-14 21:00:00,472027.899999999829,4720278999999.99829,37861357.85899998628409
2024-08-14 22:00:00,469793.399999999726,4697933999999.99726,37489513.3199999781348
2024-08-14 23:00:00,465691.599999999811,4656915999999.99811,37390378.56399998482519
2024-08-15 00:00:00,468186.999999999739,4681869999999.99739,37497096.82999997909651
2024-08-15 01:00:00,467963.499999999801,4679634999999.99801,37544711.60499998403423
2024-08-15 02:00:00,483118.899999999801,4831188999999.99801,38359640.6599999841994
2024-08-15 03:00:00,481696.899999999906,4816968999999.99906,38343073.2399999925176
2024-08-15 04:00:00,481683.29999999987,4816832999999.9987,38390159.009999989639
2024-08-15 05:00:00,489569.299999999845,4895692999999.99845,39160648.30699998760155
2024-08-15 06:00:00,494219.599999999945,4942195999999.99945,38909909.10799999566985
2024-08-15 07:00:00,498781.899999999909,4987818999999.99909,38850122.19099999291201
2024-08-15 08:00:00,500563.299999999889,5005632999999.99889,39269190.88499999129205
2024-08-15 09:00:00,504087.899999999896,5040878999999.99896,39898557.2849999917684
2024-08-15 10:00:00,510127.19999999995,5101271999999.9995,40141909.3679999960655
2024-08-15 11:00:00,514214.699999999717,5142146999999.99717,40273295.30399997783544
2024-08-15 12:00:00,514321.099999999844,5143210999999.99844,40821665.70699998761828
2024-08-15 13:00:00,510274.799999999905,5102747999999.99905,40423969.6559999924741
2024-08-15 14:00:00,505602.599999999896,5056025999999.99896,40473488.1299999916748
2024-08-15 15:00:00,500019.99999999986,5000199999999.9986,40046601.7999999887874
2024-08-15 16:00:00,500838.399999999801,5008383999999.99801,40187273.21599998403224
2024-08-15 17:00:00,502750.599999999866,5027505999999.99866,40084305.33799998931618
2024-08-15 18:00:00,515731.199999999896,5157311999999.99896,39804134.01599999197328
2024-08-15 19:00:00,495182.39999999996,4951823999999.9996,37208005.5359999969944
2024-08-15 20:00:00,495015.000000000005,4950150000000.00005,37180576.65000000037555
2024-08-15 21:00:00,500119.300000000006,5001193000000.00006,37228880.69200000044664
2024-08-15 22:00:00,476757.799999999814,4767577999999.99814,35237168.99799998625274
2024-08-15 23:00:00,478716.299999999925,4787162999999.99925,35606918.3939999944215
2024-08-16 00:00:00,494046.099999999985,4940460999999.99985,36766910.7619999988837
2024-08-16 01:00:00,494397.399999999874,4943973999999.99874,36847438.22199999060922
2024-08-16 02:00:00,514872.899999999898,5148728999999.99898,38229312.8249999924265
2024-08-16 03:00:00,507577.599999999944,5075775999999.99944,37956652.92799999581232
2024-08-16 04:00:00,524409.29999999991,5244092999999.9991,38822020.4789999933373
2024-08-16 05:00:00,537493.499999999905,5374934999999.99905,40027140.94499999292535
2024-08-16 06:00:00,543360.099999999744,5433600999999.99744,40409690.63699998096128
2024-08-16 07:00:00,542876.799999999655,5428767999999.99655,40927481.95199997399045
2024-08-16 08:00:00,534139.69999999975,5341396999999.9975,40097867.2789999812325
2024-08-16 09:00:00,540850.799999999885,5408507999999.99885,40412371.7759999914072
2024-08-16 10:00:00,548017.69999999975,5480176999999.9975,41123248.20799998124
2024-08-16 11:00:00,550747.69999999971,5507476999999.9971,40931569.0639999784472
2024-08-16 12:00:00,536929.099999999831,5369290999999.99831,39501873.88699998756667
2024-08-16 13:00:00,536762.199999999895,5367621999999.99895,38276512.48199999251245
2024-08-16 14:00:00,524152.899999999745,5241528999999.99745,38299852.40299998136715
2024-08-16 15:00:00,540288.59999999983,5402885999999.9983,38338879.0559999879368
2024-08-16 16:00:00,569393.89999999989,5693938999999.9989,39931594.2069999922857
2024-08-16 17:00:00,585345.79999999998,5853457999999.9998,41325413.479999998588
2024-08-16 18:00:00,579027.69999999981,5790276999999.9981,41730526.3389999863067
2024-08-16 19:00:00,570874.49999999977,5708744999999.9977,41268517.6049999833733
2024-08-16 20:00:00,564977.799999999853,5649777999999.99853,40921342.05399998935279
2024-08-16 21:00:00,569306.39999999979,5693063999999.9979,41269020.9359999847771
2024-08-16 22:00:00,572414.799999999864,5724147999999.99864,41408486.63199999016176
2024-08-16 23:00:00,584312.899999999858,5843128999999.99858,42035470.02599998978452
2024-08-17 00:00:00,584791.899999999865,5847918999999.99865,41976362.5819999903097
2024-08-17 01:00:00,586657.199999999735,5866571999999.99735,42227585.2559999809253
2024-08-17 02:00:00,572772.39999999971,5727723999999.9971,41497360.3799999789895
2024-08-17 03:00:00,573880.399999999845,5738803999999.99845,41445642.4879999888059
2024-08-17 04:00:00,572276.599999999796,5722765999999.99796,41324093.28599998526916
2024-08-17 05:00:00,576276.799999999865,5762767999999.99865,41728203.08799999022465
2024-08-17 06:00:00,579062.69999999975,5790626999999.9975,41929930.1069999818975
2024-08-17 07:00:00,578392.899999999774,5783928999999.99774,41742615.59299998368958
2024-08-17 08:00:00,577113.999999999754,5771139999999.99754,41829222.71999998216992
2024-08-17 09:00:00,573898.199999999856,5738981999999.99856,41550229.6799999895744
2024-08-17 10:00:00,556505.499999999656,5565054999999.99656,40257607.86999997511504
2024-08-17 11:00:00,563208.2999999999,5632082999999.999,40184912.204999992865
2024-08-17 12:00:00,560991.39999999998,5609913999999.9998,40172594.1539999985678
2024-08-17 13:00:00,553317.29999999995,5533172999999.9995,39993774.443999996386
2024-08-17 14:00:00,527995.39999999983,5279953999999.9983,38797101.9919999875084
2024-08-17 15:00:00,526109.499999999714,5261094999999.99714,38637481.67999997899616
2024-08-17 16:00:00,527643.29999999982,5276432999999.9982,38602383.8279999868312
2024-08-17 17:00:00,520161.099999999736,5201610999999.99736,38668776.17399998037424
2024-08-17 18:00:00,526249.69999999986,5262496999999.9986,39074040.224999989605
2024-08-17 19:00:00,524520.699999999845,5245206999999.99845,38704382.45299998856255
2024-08-17 20:00:00,524320.89999999981,5243208999999.9981,38673909.5839999859856
2024-08-17 21:00:00,525008.199999999795,5250081999999.99795,38813856.22599998484435
2024-08-17 22:00:00,531968.399999999746,5319683999999.99746,40131696.09599998083824
2024-08-17 23:00:00,517361.19999999976,5173611999999.9976,38895215.0159999819568
2024-08-18 00:00:00,501359.899999999819,5013598999999.99819,37541829.31199998644672
2024-08-18 01:00:00,514583.699999999764,5145836999999.99764,38598923.33699998229764
2024-08-18 02:00:00,515282.299999999745,5152822999999.99745,38357614.4119999810178
2024-08-18 03:00:00,524901.49999999975,5249014999999.9975,39645810.2949999811175
2024-08-18 04:00:00,530075.999999999795,5300759999999.99795,39400549.07999998476235
2024-08-18 05:00:00,544675.799999999875,5446757999999.99875,40376817.05399999073375
2024-08-18 06:00:00,556048.499999999915,5560484999999.99915,41192072.8799999937032
2024-08-18 07:00:00,548141.69999999994,5481416999999.9994,40809149.564999995533
2024-08-18 08:00:00,554146.59999999989,5541465999999.9989,41167550.9139999918281
2024-08-18 09:00:00,551093.09999999988,5510930999999.9988,41095012.4669999910516
2024-08-18 10:00:00,540324.599999999755,5403245999999.99755,40421683.32599998167155
2024-08-18 11:00:00,524477.999999999775,5244779999999.99775,39451235.1599999830755
2024-08-18 12:00:00,530726.699999999774,5307266999999.99774,40032714.98099998295282
2024-08-18 13:00:00,519250.299999999645,5192502999999.99645,39094355.08699997327205
2024-08-18 14:00:00,522288.999999999724,5222889999999.99724,39119446.0999999793276
2024-08-18 15:00:00,581590.29999999986,5815902999999.9986,43869356.3289999894398
2024-08-18 16:00:00,576336.19999999985,5763361999999.9985,43421169.307999988699
2024-08-18 17:00:00,531934.799999999894,5319347999999.99894,40171716.09599999199488
2024-08-18 18:00:00,525459.599999999794,5254595999999.99794,38994356.91599998471274
2024-08-18 19:00:00,521510.59999999976,5215105999999.9976,38748237.579999982168
2024-08-18 20:00:00,523085.79999999974,5230857999999.9974,39090201.8339999805702
2024-08-18 21:00:00,521933.199999999766,5219331999999.99766,39191963.98799998242894
2024-08-18 22:00:00,516377.799999999735,5163777999999.99735,38413344.54199998028665
2024-08-18 23:00:00,514637.699999999724,5146376999999.99724,38572095.6149999793138
2024-08-19 00:00:00,493556.699999999755,4935566999999.99755,35965476.72899998214685
2024-08-19 01:00:00,513350.59999999971,5133505999999.9971,37048512.8019999790707
2024-08-19 02:00:00,504428.39999999968,5044283999999.9968,36909026.0279999765856
2024-08-19 03:00:00,505138.099999999765,5051380999999.99765,37360013.8759999826194
2024-08-19 04:00:00,511872.799999999795,5118727999999.99795,37822281.19199998485255
2024-08-19 05:00:00,518003.09999999982,5180030999999.9982,38150928.314999986743
2024-08-19 06:00:00,517596.899999999716,5175968999999.99716,37882917.11099997921404
2024-08-19 07:00:00,532792.19999999984,5327921999999.9984,39069652.0259999882672
2024-08-19 08:00:00,540094.199999999818,5400941999999.99818,39491687.90399998669216
2024-08-19 09:00:00,544004.499999999786,5440044999999.99786,39891849.98499998430738
2024-08-19 10:00:00,530444.399999999826,5304443999999.99826,38313999.01199998743198
2024-08-19 11:00:00,530135.89999999998,5301358999999.9998,38175086.1589999985598
2024-08-19 12:00:00,535269.9999999998,5352699999999.998,39064004.599999985404
2024-08-19 13:00:00,538726.39999999971,5387263999999.9971,39213894.6559999788909
2024-08-19 14:00:00,519643.999999999716,5196439999999.99716,37835279.63999997932196
2024-08-19 15:00:00,520846.999999999814,5208469999999.99814,38256212.1499999863383
2024-08-19 16:00:00,527867.89999999989,5278678999999.9989,38882749.5139999918974
2024-08-19 17:00:00,514255.29999999972,5142552999999.9972,37880045.3979999793752
2024-08-19 18:00:00,518314.799999999964,5183147999999.99964,39340093.3199999972676
2024-08-19 19:00:00,515029.79999999978,5150297999999.9978,38792044.5359999834296
2024-08-19 20:00:00,508514.999999999769,5085149999999.99769,38311520.09999998259646
2024-08-19 21:00:00,512800.899999999755,5128008999999.99755,38736979.9859999814927
2024-08-19 22:00:00,511022.999999999765,5110229999999.99765,38648669.48999998222695
2024-08-19 23:00:00,515827.099999999736,5158270999999.99736,39342132.91699997986472
2024-08-20 00:00:00,519845.49999999982,5198454999999.9982,39918935.9449999861778
2024-08-20 01:00:00,546631.299999999975,5466312999999.99975,42227267.92499999806875
2024-08-20 02:00:00,545976.099999999904,5459760999999.99904,42138435.39799999259072
2024-08-20 03:00:00,541466.29999999985,5414662999999.9985,41779539.707999988426
2024-08-20 04:00:00,545539.099999999965,5455390999999.99965,42011966.09099999730465
2024-08-20 05:00:00,548211.19999999998,5482111999999.9998,42661795.5839999984436
