Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-08-11 16:00:00,2327558.64000000005,2327558.64000000005,346131245.3544000074355
2024-08-12 16:00:00,1674791.60999999958,1674791.60999999958,247282981.216499937987
2024-08-13 16:00:00,1661803.3499999999,1661803.3499999999,242822705.501999985388
2024-08-14 16:00:00,1609776.66000000033,1609776.66000000033,236122040.4888000484044
2024-08-15 16:00:00,1654979.6299999997,1654979.6299999997,241527727.202199956218
2024-08-16 16:00:00,1684631.7299999989,1684631.7299999989,232428639.788099848233
2024-08-17 16:00:00,1624289.5199999997,1624289.5199999997,227644176.227999957955
2024-08-18 16:00:00,1604836.96000000017,1604836.96000000017,233872890.1808000247741
2024-08-19 16:00:00,1622912.93999999995,1622912.93999999995,233569630.324799992804
2024-08-20 16:00:00,1675302.48999999964,1675302.48999999964,238026977.7791999488512
2024-08-21 16:00:00,1835924.09999999938,1835924.09999999938,257635228.9529999129954
2024-08-22 16:00:00,1760559.49999999927,1760559.49999999927,251249446.2449998958217
2024-08-23 16:00:00,1728184.64999999943,1728184.64999999943,249498017.9204999177091
2024-08-24 16:00:00,1552941.38000000026,1552941.38000000026,247554385.3858000414466
2024-08-25 16:00:00,1546986.28000000016,1546986.28000000016,246465854.1296000254912
2024-08-26 16:00:00,1563474.54000000048,1563474.54000000048,246434856.9948000756576
2024-08-27 16:00:00,1595415.43000000036,1595415.43000000036,245390847.2883000553716
2024-08-28 16:00:00,1491494.78000000082,1491494.78000000082,215088462.2238001182522
2024-08-29 16:00:00,1452251.2000000004,1452251.2000000004,212188422.832000058444
2024-08-30 16:00:00,1780155.35000000002,1780155.35000000002,237348112.8155000026666
2024-08-31 16:00:00,1689630.6200000003,1689630.6200000003,230702164.854800040962
2024-09-01 16:00:00,1861586.61999999976,1861586.61999999976,249862156.1363999677872
2024-09-02 16:00:00,1714052.72999999914,1714052.72999999914,227214829.8887998859984
2024-09-03 16:00:00,1696156.74000000026,1696156.74000000026,220042413.8802000337298
2024-09-04 16:00:00,1753159.51000000033,1753159.51000000033,234607805.6282000441606
2024-09-05 16:00:00,1683162.26000000001,1683162.26000000001,219854654.4012000013062
2024-09-06 16:00:00,1653964.25999999955,1653964.25999999955,211905900.991199942346
2024-09-07 16:00:00,1791579.12000000021,1791579.12000000021,230880801.1944000270627
2024-09-08 16:00:00,1786093.24000000092,1786093.24000000092,226172986.9812001164996
2024-09-09 16:00:00,1844280.02000000043,1844280.02000000043,236787111.7678000552077
2024-09-10 16:00:00,1590936.32,1590936.32,213933206.9504
2024-09-11 16:00:00,1756226.91000000001,1756226.91000000001,230188661.0937000013107
2024-09-12 16:00:00,1865132.89000000009,1865132.89000000009,249069846.1306000120186
2024-09-13 16:00:00,1876465.98999999999,1876465.98999999999,256362783.5537999986338
2024-09-14 16:00:00,1640911.50999999983,1640911.50999999983,225526877.9343999766352
2024-09-15 16:00:00,1703516.22999999998,1703516.22999999998,231269363.3847999972848
2024-09-16 16:00:00,1915757.64000000042,1915757.64000000042,252075390.2712000552636
2024-09-17 16:00:00,1726861.13000000036,1726861.13000000036,232487313.9319000484668
2024-09-18 16:00:00,2033337.6800000003,2033337.6800000003,259677555.112800038313
2024-09-19 16:00:00,1904647.30999999971,1904647.30999999971,272193147.0720999585561
2024-09-20 16:00:00,1782720.47999999949,1782720.47999999949,263521741.3535999246118
2024-09-21 16:00:00,1816310.6099999997,1816310.6099999997,268123772.248199955714
2024-09-22 16:00:00,1886654.83999999925,1886654.83999999925,270112373.4427998926225
2024-09-23 16:00:00,1813203.68999999986,1813203.68999999986,261572764.3193999798036
2024-09-24 16:00:00,1714475.43999999971,1714475.43999999971,249507610.7831999577963
2024-09-25 16:00:00,1769133.48999999981,1769133.48999999981,266059985.5610999714259
2024-09-26 16:00:00,1933600.81000000066,1933600.81000000066,303517319.1457001036002
2024-09-27 16:00:00,1731736.39000000019,1731736.39000000019,275467307.5573000302233
2024-09-28 16:00:00,1731344.85000000091,1731344.85000000091,271613380.0680001427608
2024-09-29 16:00:00,1873751.55000000037,1873751.55000000037,294628693.7220000581788
2024-09-30 16:00:00,2110763.010000002,2110763.010000002,325395225.62160030832
2024-10-01 16:00:00,2290710.13000000094,2290710.13000000094,343194191.6766001408308
2024-10-02 16:00:00,1798828.23000000003,1798828.23000000003,265219234.2312000044232
2024-10-03 16:00:00,1962056.73000000078,1962056.73000000078,266074513.1553001057758
2024-10-04 16:00:00,1771026.07999999992,1771026.07999999992,252264954.8351999886048
2024-10-05 16:00:00,1897780.15999999998,1897780.15999999998,271401540.6815999971398
2024-10-06 16:00:00,1867864.65000000076,1867864.65000000076,272670881.6070001109448
2024-10-07 16:00:00,1744341.34000000066,1744341.34000000066,259401000.6714000981486
2024-10-08 16:00:00,1734883.96999999936,1734883.96999999936,247758779.7556999086016
2024-10-09 16:00:00,1705294.9599999995,1705294.9599999995,243464961.439199928615
