Open Time,Open,High,Low,Close,Volume,Quote Asset Volume
2019-11-27,146,155.66,125.03,152.52,115911.840,17460431.98330
2019-11-28,154.29,156.52,146.41,150.48,116824.070,17742043.26991
2019-11-29,150.56,157.40,150.55,154.41,167906.104,25824932.01289
2019-11-30,154.40,155.15,149.66,151.38,370491.615,56539195.08197
2019-12-01,151.38,152.50,145.50,150.65,394494.119,58741811.96827
2019-12-02,150.72,151.30,146.67,148.59,395630.910,58829106.54673
2019-12-03,148.59,149.80,145.62,147.10,495996.573,73434360.19026
2019-12-04,147.12,152.22,142.96,145.35,684404.817,100448763.87067
2019-12-05,145.36,148.88,143.77,148.04,441113.912,64620018.03792
2019-12-06,148.08,149.50,145.66,148.41,334645.217,49359338.35101
2019-12-07,148.41,149.42,146.77,147.10,239185.310,35392175.44071
2019-12-08,147.08,156.25,146.01,150.41,260610.870,38821520.15034
2019-12-09,150.41,151.15,146.55,147.37,296475.449,44161248.94511
2019-12-10,147.36,148.39,143.78,145.55,253852.598,37152298.15565
2019-12-11,142.83,142.87,142.74,142.76,158.649,22655.78275
2019-12-12,143.36,145.80,139.05,144.80,372077.814,53279718.29956
2019-12-13,144.80,145.20,143,144.70,183068.201,26428341.34049
2019-12-14,144.71,144.97,141.05,141.77,187036.667,26688162.93104
2019-12-15,141.77,144,139.89,142.39,230729.834,32774496.51484
2019-12-16,142.46,142.63,128.59,132.59,553596.159,74937085.70597
2019-12-17,132.60,132.84,119.10,121.87,613475.540,77808074.34792
2019-12-18,121.90,134.75,115.95,132.74,1013697.094,126878213.28292
2019-12-19,132.78,133.79,125.66,128.03,637508.534,81427182.50507
2019-12-20,128.03,129.33,125.73,128.13,346553.796,44173865.86824
2019-12-21,128.13,128.52,126.50,126.99,208331.595,26494884.59958
2019-12-22,126.99,133.33,126.78,132.14,443907.086,57782448.27002
2019-12-23,132.18,135.09,126.01,127.73,698722.014,91842141.56236
2019-12-24,127.75,129.67,126.45,127.76,497534.945,63643418.56040
2019-12-25,127.72,127.83,123,125.06,455279.225,56922516.85419
2019-12-26,125.06,132.44,124.33,125.53,583380.778,74015092.19705
2019-12-27,125.53,127.06,122,126.21,567887.536,71062171.64403
2019-12-28,126.24,129.62,125.77,128.04,468730.855,59832626.86938
2019-12-29,128.02,138.25,127.50,134.28,771614.663,102246841.95888
2019-12-30,134.22,136.21,130.19,131.52,692165.824,91950597.99650
2019-12-31,131.53,133.64,128.15,129.12,647743.359,84614091.61629
2020-01-01,129.12,132.96,128.62,130.62,466063.929,61037558.40428
2020-01-02,130.63,130.75,126.25,127.11,523582.924,67377970.84502
2020-01-03,127.11,135.07,125.78,134.29,951123.597,125018928.04077
2020-01-04,134.31,135.80,132.41,134.14,509778.108,68153930.41227
2020-01-05,134.14,138.17,134.12,135.33,669677.687,91098597.42478
2020-01-06,135.32,144.38,134.82,144.04,1095147.166,153993462.03959
2020-01-07,144.11,145.25,138.70,142.86,963331.505,137384193.55172
2020-01-08,142.86,147.94,137.15,140.75,1208133.766,171733898.79286
2020-01-09,140.76,141.52,135.33,137.73,956864.213,132349219.83971
2020-01-10,137.73,145.15,135.22,144.80,908378.249,127143267.90469
2020-01-11,144.80,148.03,142.00,142.40,832163.204,119977193.63432
2020-01-12,142.40,146.60,141.71,146.57,630256.911,90941158.24868
2020-01-13,146.57,147.00,142.32,143.58,558655.672,80266745.59378
2020-01-14,143.57,171.00,143.49,165.77,2169559.414,342187335.94531
2020-01-15,165.75,172.18,159.35,166.60,1391999.279,230286716.67757
2020-01-16,166.61,167.63,158.43,164.37,784199.474,127461014.43638
2020-01-17,164.39,174.79,162.27,170.06,946707.348,160259747.79844
2020-01-18,170.06,179.57,165.08,174.43,819444.357,142262348.68168
2020-01-19,174.37,178.42,161.81,167.04,742371.819,125956521.72340
2020-01-20,167.04,169.48,161.50,167.03,390055.869,64624702.00634
2020-01-21,167.01,170.34,165.02,169.52,351565.999,58986902.98569
2020-01-22,169.62,171.61,166.12,168.19,334378.174,56350595.56504
2020-01-23,168.24,168.38,159.41,162.97,481102.220,78583548.01533
2020-01-24,162.97,164.65,155.72,162.63,472568.424,75924771.97144
2020-01-25,162.66,163.00,157.80,160.52,282785.555,45339862.12769
2020-01-26,160.50,168.16,159.50,167.90,326188.863,53409274.40732
2020-01-27,167.98,172.26,165.28,170.21,418039.792,70720869.02324
2020-01-28,170.25,176.70,170.22,175.88,525282.459,90758791.20274
2020-01-29,175.89,178.85,173.30,173.80,401619.605,70901067.68041
2020-01-30,173.86,187.40,171.07,185.14,653770.608,116665433.71156
2020-01-31,185.16,186.34,175.50,180.14,672522.049,121744510.77084
2020-02-01,180.14,184.58,179.41,183.82,526688.019,96080885.54872
2020-02-02,183.80,193.70,179.00,188.59,907342.798,170846713.44708
2020-02-03,188.64,195.45,186.65,189.92,652054.538,124122130.70399
2020-02-04,189.89,191.76,184.71,189.01,614290.379,115364577.74246
2020-02-05,189.00,208.18,188.26,204.10,902811.615,178375200.47346
2020-02-06,204.10,216.70,201.28,213.27,1254989.317,264288535.88063
2020-02-07,213.30,225.36,213.30,223.57,1054174.736,232249153.37736
2020-02-08,223.57,228.02,213.35,223.57,1090545.108,243043392.21839
2020-02-09,223.57,230.90,223.50,228.64,969021.787,220695663.91218
2020-02-10,228.71,229.96,217.32,223.03,1175671.024,262203105.94020
2020-02-11,223.04,239.98,218.64,237.16,1194286.448,272327898.64944
2020-02-12,237.17,277.97,237.17,266.24,2223807.477,574225360.14547
2020-02-13,266.26,278.80,256.20,268.48,2386998.020,639755030.53358
2020-02-14,268.48,287.58,260.53,285.40,1447161.175,395789382.38502
2020-02-15,285.40,289.00,262.41,265.08,1925220.413,529235758.42768
2020-02-16,265.16,274.30,237.86,258.87,2297491.401,594576100.72784
2020-02-17,258.87,268.81,242.32,268.00,2129022.892,538264137.14580
2020-02-18,267.99,286.48,258.78,282.96,1885124.383,515176525.90584
2020-02-19,282.96,286.70,250.00,258.43,1677778.697,459670219.19239
2020-02-20,258.39,264.32,245.91,257.11,1618473.989,415072958.53042
2020-02-21,257.18,268.50,253.89,265.44,985301.295,258780144.08535
2020-02-22,265.45,267.16,256.23,261.83,752957.418,196960689.68890
2020-02-23,261.82,275.84,261.50,274.67,940831.980,254128741.02017
2020-02-24,274.66,277.26,257.50,265.70,1483265.023,396190156.06157
2020-02-25,265.69,266.40,244.57,247.03,1563901.657,399165818.02308
2020-02-26,247.03,250.54,215.75,224.10,2729291.802,633303689.86963
2020-02-27,224.13,238.58,210.01,227.92,2374539.334,536493997.29536
2020-02-28,227.93,234.93,214.25,227.09,2026863.186,454376453.34299
2020-02-29,227.04,233.33,217.14,217.31,1309444.250,295997709.37920
2020-03-01,217.37,228.00,212.33,218.01,1775078.523,390456164.99470
2020-03-02,218.01,234.50,216.24,232.22,1604040.396,362061880.36415
2020-03-03,232.24,232.67,220.21,224.10,1544830.651,350368765.18825
2020-03-04,224.10,229.00,220.45,224.47,1027175.512,230726528.92651
2020-03-05,224.43,234.26,224.43,228.64,1142530.928,262593712.18975
2020-03-06,228.63,245.38,227.60,244.94,1307956.340,309193535.18403
2020-03-07,244.97,251.80,236.30,237.34,1637057.953,398551973.39385
2020-03-08,237.36,237.38,195.35,199.54,3150036.792,684775390.09688
2020-03-09,199.54,208.65,190.02,203.02,3885205.704,778277652.87276
2020-03-10,202.95,206.32,195.66,200.95,2008333.356,405031566.29724
2020-03-11,200.90,203.26,181.88,194.81,2125322.090,410229505.12859
2020-03-12,194.77,195.81,95.00,106.71,7116256.717,1042747529.18930
2020-03-13,106.97,323.00,84.23,134.13,6584772.112,787562869.66480
2020-03-14,134.10,134.67,121.16,122.55,1845475.252,237313127.06988
2020-03-15,122.56,133.85,120.40,123.89,1802030.406,224638895.20642
2020-03-16,123.87,124.40,100.11,111.06,3622097.906,400195138.40241
2020-03-17,111.04,121.55,109.34,115.68,2053691.349,239015139.83578
2020-03-18,115.67,118.59,109.78,118.16,1583517.464,181277993.24376
2020-03-19,118.12,143.34,115.50,136.42,2098800.654,270554423.25128
2020-03-20,136.42,152.68,116.67,133.52,3128620.956,431165491.64371
2020-03-21,133.48,137.58,125.58,132.67,1933564.299,254848453.29529
2020-03-22,132.64,137.20,121.00,122.25,1724360.751,222080052.34143
2020-03-23,122.27,137.67,119.00,135.96,1950909.243,250208240.74389
2020-03-24,135.96,143.44,132.41,138.38,1745190.832,239985908.84741
2020-03-25,138.39,142.46,132.36,136.10,1448291.794,198316846.12547
2020-03-26,136.11,139.80,133.18,138.41,1069528.365,144970764.16497
2020-03-27,138.36,141.44,129.16,131.27,1024307.980,139707188.15309
2020-03-28,131.24,132.93,124.52,130.95,1335630.330,171695997.87213
2020-03-29,130.97,131.77,123.74,124.40,848667.965,108415730.52964
2020-03-30,124.42,135.13,123.93,132.04,1187536.733,155662722.12980
2020-03-31,132.07,135.00,130.33,132.61,896493.378,118826469.17698
2020-04-01,132.60,137.22,128.27,135.60,1143905.195,151016360.22430
2020-04-02,135.60,149.97,135.00,141.30,1694646.358,238001714.23101
2020-04-03,141.29,146.78,137.68,141.23,1307374.677,186309257.94885
2020-04-04,141.20,146.14,138.79,144.02,977437.997,139027717.81503
2020-04-05,143.97,145.52,140.60,142.59,780295.149,111570542.90690
2020-04-06,142.59,171.99,142.51,171.15,2847455.204,449513671.57668
2020-04-07,171.15,176.16,162.13,164.55,3033756.235,517045468.00622
2020-04-08,164.56,174.59,163.55,173.19,1871521.554,317822104.24189
2020-04-09,173.18,173.44,164.89,169.46,1307817.881,222508469.51894
2020-04-10,169.48,170.10,152.00,157.69,2238955.865,356355836.18656
2020-04-11,157.69,161.25,153.78,158.19,1157138.069,182597930.42972
2020-04-12,158.21,164.90,154.85,158.72,1402479.422,224914825.57336
2020-04-13,158.69,159.08,149.55,156.37,1787879.914,275149048.62074
2020-04-14,156.38,161.83,155.07,158.43,1342786.247,212907622.90640
2020-04-15,158.42,161.32,151.90,152.64,1352926.571,212884736.06398
2020-04-16,152.64,174.92,148.07,172.27,3073088.701,509884815.63486
2020-04-17,172.31,174.88,168.21,170.56,1341267.776,228893903.77257
2020-04-18,170.56,189.68,170.28,187.48,2159964.294,389663555.13636
2020-04-19,187.52,188.30,176.27,179.97,2326412.534,423672004.55212
2020-04-20,179.96,186.47,166.60,170.19,3452651.911,611827298.66674
2020-04-21,170.19,174.63,167.92,170.66,2195445.346,375960392.81830
2020-04-22,170.66,183.98,169.80,182.63,2433000.659,432861105.37288
2020-04-23,182.63,194.40,178.00,185.53,3351092.377,621753420.53678
2020-04-24,185.54,189.77,184.49,187.65,1865428.754,349685296.23952
2020-04-25,187.67,198.53,185.70,194.25,2370712.476,458631945.16971
2020-04-26,194.22,199.99,192.27,197.46,2056340.656,402336362.15937
2020-04-27,197.46,199.00,189.51,196.37,2321318.544,452448671.70133
2020-04-28,196.39,197.72,192.28,196.31,1903267.470,372049036.21292
2020-04-29,196.34,219.50,196.31,215.50,3776173.452,788440824.81620
2020-04-30,215.50,227.50,201.90,206.22,4371759.191,936458258.32876
2020-05-01,206.21,217.49,206.12,212.22,1902796.913,403173248.22679
2020-05-02,212.21,215.63,210.55,213.99,1246430.868,265476896.91763
2020-05-03,213.99,219.84,205.00,209.95,1688070.223,359428511.96159
2020-05-04,209.94,210.83,195.10,206.73,2313604.876,469274368.72380
2020-05-05,206.69,212.02,201.14,205.39,1814876.244,374058470.58590
2020-05-06,205.36,211.13,198.04,199.06,1868966.306,386076250.92430
2020-05-07,199.09,215.63,196.14,212.25,2470908.382,513526641.19670
2020-05-08,212.25,216.95,207.01,211.47,1698296.769,360076385.66326
2020-05-09,211.47,214.81,208.30,210.31,1444064.449,306213858.72979
2020-05-10,210.32,210.36,177.89,187.52,3056317.482,577999455.74581
2020-05-11,187.48,193.44,175.50,185.69,2311029.197,429270139.29081
2020-05-12,185.68,192.31,185.40,189.64,1261058.639,238588953.57139
2020-05-13,189.64,200.95,187.64,199.54,1373737.580,267245495.97600
2020-05-14,199.53,205.95,195.56,203.13,1892551.091,380305674.97201
2020-05-15,203.10,203.99,191.21,194.71,1377796.956,273307743.27705
2020-05-16,194.72,203.46,193.20,200.39,1100996.922,220055609.94610
2020-05-17,200.40,210.16,199.50,206.93,1067367.779,218892160.12065
2020-05-18,206.90,217.20,206.90,214.83,1527493.953,325316559.17037
2020-05-19,214.83,215.99,209.32,214.70,1209630.470,257251108.96285
2020-05-20,214.69,215.85,206.02,209.96,1322809.976,279696340.13428
2020-05-21,209.99,211.69,191.61,198.68,1812327.033,366782519.68942
2020-05-22,198.69,209.22,195.95,207.28,1415586.292,287619795.23226
2020-05-23,207.31,211.20,204.47,206.51,1093535.486,227019949.01277
2020-05-24,206.46,210.54,199.24,199.70,1534431.164,316070681.24532
2020-05-25,199.70,205.66,197.72,204.10,992843.927,201511206.07324
2020-05-26,204.10,205.05,196.68,200.91,1053386.195,212361617.55361
2020-05-27,200.89,208.48,200.69,208.27,949312.616,194678762.77842
2020-05-28,208.27,220.79,204.55,220.32,1302485.446,275853034.40081
2020-05-29,220.31,225.00,217.00,220.65,1412528.305,311884016.19261
2020-05-30,220.65,247.85,218.77,243.74,2496490.987,585564863.55064
2020-05-31,243.73,245.30,229.54,231.55,2064900.485,489701677.03937
2020-06-01,231.55,252.80,230.61,248.90,2168854.578,522438717.22123
2020-06-02,248.91,254.48,220.00,237.73,1997511.516,482361317.69117
2020-06-03,237.74,245.23,233.30,244.52,1177836.333,281645740.99126
2020-06-04,244.52,246.70,235.75,243.28,1658566.857,402459677.30633
2020-06-05,243.29,248.36,238.68,240.13,1287620.696,312982105.00055
2020-06-06,240.12,244.89,237.91,242.05,838620.358,202429929.69899
2020-06-07,242.06,245.61,234.64,244.66,1343974.146,322855661.22177
2020-06-08,244.67,248.05,241.04,246.65,857037.392,209012260.96756
2020-06-09,246.64,250.10,237.30,243.98,1120313.696,272824173.15009
2020-06-10,243.98,251.00,241.00,247.95,1101191.092,270438018.28235
2020-06-11,247.95,250.34,225.33,230.48,1937518.384,463593288.19211
2020-06-12,230.48,239.38,228.30,237.46,958938.087,225982481.27438
2020-06-13,237.47,238.88,234.60,238.17,562091.362,133082474.15789
2020-06-14,238.14,238.59,229.90,231.92,787142.212,184729377.14818
2020-06-15,231.92,233.64,218.02,230.86,1960437.997,443458580.66509
2020-06-16,230.85,236.00,228.75,235.22,989098.472,230773103.93013
2020-06-17,235.22,237.50,227.47,233.75,1098414.164,255862428.97339
2020-06-18,233.73,234.70,227.81,231.26,722224.653,167276182.33834
2020-06-19,231.26,232.00,226.02,228.97,875231.698,200700324.69961
2020-06-20,228.98,230.80,225.07,228.85,690552.179,157633384.57489
2020-06-21,228.84,231.40,227.06,228.08,480312.941,110256923.45852
2020-06-22,228.07,247.00,227.50,243.14,1580083.705,377318824.05754
2020-06-23,243.13,244.90,240.70,243.12,880274.162,213875470.03441
2020-06-24,243.13,249.41,231.00,234.54,1872960.153,448953617.37941
2020-06-25,234.54,235.50,227.53,232.50,1051198.670,244330169.16450
2020-06-26,232.50,233.65,227.67,229.66,1096114.911,252514561.81677
2020-06-27,229.65,231.40,213.59,220.94,1316665.336,294859175.09059
2020-06-28,220.95,227.90,217.81,224.96,967586.374,216318637.93915
2020-06-29,224.93,230.13,221.11,227.95,1101723.749,247970501.55192
2020-06-30,227.95,228.73,223.00,225.56,843327.995,190512620.41264
2020-07-01,225.56,232.78,224.01,231.03,980442.364,224106226.55330
2020-07-02,231.02,231.99,222.76,226.54,1305858.588,297251172.93531
2020-07-03,226.54,228.17,224.11,224.83,579175.291,131241028.78854
2020-07-04,224.82,230.77,224.31,229.20,534507.407,121465137.44154
2020-07-05,229.21,229.88,223.26,227.61,681239.534,154164268.13412
2020-07-06,227.61,242.32,226.89,241.63,1361794.882,320359855.27586
2020-07-07,241.66,243.90,234.44,239.45,1024076.026,244093092.67784
2020-07-08,239.45,249.00,237.75,247.14,1430997.143,348773164.43888
2020-07-09,247.10,247.94,238.04,242.01,1407925.425,342433597.13767
2020-07-10,242.00,242.25,235.73,241.37,789372.278,188835488.41670
2020-07-11,241.38,241.79,237.61,239.25,478752.331,114661329.88100
2020-07-12,239.25,244.35,236.00,242.82,899578.746,215562992.67344
2020-07-13,242.82,245.56,237.30,239.60,1099518.478,266174695.26564
2020-07-14,239.60,242.24,236.74,240.56,724653.885,173634906.59871
2020-07-15,240.57,241.50,236.90,238.59,529634.834,126575225.98055
2020-07-16,238.59,239.58,229.84,233.74,1047566.611,244658931.71368
2020-07-17,233.75,235.05,231.81,232.72,557216.722,129976699.22534
2020-07-18,232.72,236.95,232.35,235.69,466496.509,109492088.09960
2020-07-19,235.69,239.93,233.28,239.19,573124.068,135124155.60153
2020-07-20,239.18,239.81,234.00,236.03,693643.358,164752457.58157
2020-07-21,236.02,246.87,235.52,245.56,1191285.530,288862206.41801
2020-07-22,245.56,270.80,241.52,264.27,1647528.096,418091059.37613
2020-07-23,264.30,280.48,259.86,275.56,2725687.424,736552038.77903
2020-07-24,275.50,287.76,268.32,279.45,2651233.303,736083875.03441
2020-07-25,279.45,309.39,279.28,305.64,3122852.128,915502216.03662
2020-07-26,305.58,321.99,299.18,311.41,3709687.999,1149779086.62864
2020-07-27,311.36,335.00,311.00,322.33,5017477.237,1620266858.22627
2020-07-28,322.30,327.47,306.02,317.21,2856472.080,906295104.75718
2020-07-29,317.19,325.99,313.00,318.12,1890408.946,606896653.93406
2020-07-30,318.12,343.38,314.06,335.30,2332715.926,763116559.16756
2020-07-31,335.31,349.83,329.00,346.42,2671758.151,912102990.69843
2020-08-01,346.42,394.80,343.40,387.24,4026011.453,1483605104.03266
2020-08-02,387.25,418.49,302.00,372.85,6320469.190,2395197027.14924
2020-08-03,372.86,398.59,366.66,386.20,3020910.903,1173622514.82561
2020-08-04,386.19,403.88,380.66,390.10,2702153.264,1057960148.06036
2020-08-05,390.02,407.88,384.31,400.95,2378190.463,942126678.78739
2020-08-06,400.94,404.25,390.60,395.09,1643305.550,652554125.73757
2020-08-07,395.10,398.86,361.27,379.63,2591811.422,992515267.80878
2020-08-08,379.62,397.75,376.11,397.48,1345421.828,520508410.78516
2020-08-09,397.56,400.73,383.75,390.54,1457418.137,571218683.77785
2020-08-10,390.54,400.70,384.34,395.83,1547750.272,611218329.12583
2020-08-11,395.83,398.78,367.00,379.30,2199154.835,845731729.15190
2020-08-12,379.34,389.75,366.05,387.46,1576215.436,599199526.83731
2020-08-13,387.51,432.25,376.77,425.34,3595989.078,1440744340.82628
2020-08-14,425.27,445.66,418.00,438.84,2795449.786,1207407794.98586
2020-08-15,438.71,443.90,426.68,432.75,1729353.597,753504069.85460
2020-08-16,432.78,437.71,413.01,434.19,1739365.364,742240079.00529
2020-08-17,434.19,449.00,421.01,431.33,2238985.810,968933324.12397
2020-08-18,431.31,434.50,414.00,422.36,1639582.806,698827138.90995
2020-08-19,422.33,427.10,393.28,407.65,2392945.290,978436819.67326
2020-08-20,407.63,419.48,402.41,416.29,1235515.836,508701446.71645
2020-08-21,416.30,418.95,385.09,388.25,1870166.525,753415032.24112
2020-08-22,388.27,397.34,380.00,395.44,1122107.661,436143011.08409
2020-08-23,395.44,397.20,383.69,391.00,892915.856,348769199.20701
2020-08-24,391.00,410.70,387.64,407.94,1323796.078,532034653.91777
2020-08-25,407.91,409.43,370.14,383.11,2394641.047,926182571.14738
2020-08-26,383.07,393.44,377.63,386.02,1390706.382,535388937.61697
2020-08-27,386.02,397.38,371.31,383.60,1885062.888,723029860.38872
2020-08-28,383.58,398.80,379.94,395.14,1161424.748,454164125.32279
2020-08-29,395.16,405.80,391.81,398.66,987943.950,395131559.72597
2020-08-30,398.71,430.28,398.37,429.11,1442892.512,599192209.99373
2020-08-31,429.12,439.49,418.20,434.03,1643669.582,708381941.47511
2020-09-01,434.03,489.32,429.25,475.61,3265577.517,1522749662.81293
2020-09-02,475.70,482.44,418.30,439.75,4128002.108,1848669079.41557
2020-09-03,439.74,450.91,371.00,381.62,4981606.249,2061198580.62087
2020-09-04,381.52,400.63,356.14,385.20,3806408.610,1466761495.79589
2020-09-05,385.24,394.89,307.36,334.85,5792598.731,2014890370.20582
2020-09-06,334.85,360.00,316.03,352.69,3681811.956,1260136199.59651
2020-09-07,352.62,358.48,323.02,353.49,3268150.180,1119788439.21161
2020-09-08,353.49,356.67,325.00,337.32,3008960.497,1022162050.92677
2020-09-09,337.38,359.00,330.58,350.65,1732784.863,600153424.58103
2020-09-10,350.58,377.00,349.66,367.69,2855720.317,1048583230.04711
2020-09-11,367.69,375.07,355.60,373.45,1837058.853,671565874.73255
2020-09-12,373.42,388.36,364.43,387.65,1472243.835,551721286.62609
2020-09-13,387.58,390.45,353.12,366.24,2318465.664,859558056.31093
2020-09-14,366.24,384.42,355.48,377.13,2243256.424,832952559.07798
2020-09-15,377.13,382.49,362.29,364.06,2013169.525,747292134.06940
2020-09-16,364.00,373.30,354.75,364.95,1911187.036,696557257.65751
2020-09-17,364.97,394.07,363.10,389.24,2807865.002,1069882746.36399
2020-09-18,389.23,392.43,375.39,384.44,1502040.045,576509035.40646
2020-09-19,384.43,388.71,376.67,384.96,923238.785,353726036.38442
2020-09-20,384.95,385.33,364.52,370.85,1347492.449,503892954.65173
2020-09-21,370.86,377.20,330.66,340.19,3292780.639,1155637097.23577
2020-09-22,340.19,346.75,335.27,344.06,2105741.952,719805988.46761
2020-09-23,344.05,344.60,312.36,320.64,2547487.165,846856958.49964
2020-09-24,320.64,353.09,316.37,348.77,2679663.060,901752280.98076
2020-09-25,348.73,357.88,337.50,351.88,2148472.096,743662627.24495
