Open Time,Open,High,Low,Close,Volume,Quote Asset Volume
2020-09-14,3.2002,4.9100,3.2002,3.2661,4788171,16036784.4940
2020-09-15,3.2629,3.3258,2.9001,2.9332,4318305,13621711.0385
2020-09-16,2.9299,2.9299,2.4316,2.5395,5698128,14856831.7914
2020-09-17,2.5400,2.9360,2.3569,2.8855,6499338,17030558.1609
2020-09-18,2.8821,3.1500,2.7240,3.1080,6310796,18691804.3569
2020-09-19,3.1080,3.2509,2.9550,3.0193,5004414,15371321.4183
2020-09-20,3.0159,3.0173,2.6876,2.8635,4430783,12699290.7506
2020-09-21,2.8567,3.0300,2.4576,2.7539,6299704,17301567.0659
2020-09-22,2.7544,3.0100,2.6094,2.9183,8942906,25701864.7265
2020-09-23,2.9196,3.0935,2.6863,2.8313,7291781,21084871.2389
2020-09-24,2.8350,3.2538,2.7607,3.1392,6564611,19866295.7720
2020-09-25,3.1314,3.2698,2.8980,3.1821,5925744,18205988.1209
2020-09-26,3.1871,3.2490,3.0170,3.1262,5033808,15670182.4313
2020-09-27,3.1275,3.1883,2.9770,3.1617,4684139,14540686.6560
2020-09-28,3.1596,3.2116,2.8909,2.9564,4954686,15163873.4275
2020-09-29,2.9560,3.0207,2.8740,2.9517,4430934,13108477.3965
2020-09-30,2.9500,2.9890,2.8285,2.9004,3951833,11467953.0826
2020-10-01,2.9008,2.9968,2.6546,2.8701,4852685,13926229.8674
2020-10-02,2.8694,2.8851,2.4224,2.6236,5582857,14729447.9806
2020-10-03,2.6271,2.6689,2.5326,2.5454,4150340,10903898.1881
2020-10-04,2.5447,2.5909,2.4266,2.5236,4641666,11645814.1127
2020-10-05,2.5244,2.6770,2.4561,2.6495,4421463,11373887.1838
2020-10-06,2.6517,2.6610,2.1346,2.1732,5435007,13126402.5772
2020-10-07,2.1725,2.4000,2.0854,2.3027,6627417,14907458.0004
2020-10-08,2.3036,2.4629,2.0117,2.3716,8385420,18833682.9536
2020-10-09,2.3717,2.6289,2.3101,2.5363,6662396,16532541.8150
2020-10-10,2.5356,2.6110,2.3907,2.4070,5487486,13767446.7602
2020-10-11,2.4065,2.4609,2.3378,2.4257,4904544,11809240.0500
2020-10-12,2.4269,2.7096,2.4171,2.5825,6382872,16334052.6261
2020-10-13,2.5820,2.5889,2.3355,2.4048,6883812,16898878.4417
2020-10-14,2.4053,2.4464,2.2337,2.3087,4990767,11684296.8744
2020-10-15,2.3102,2.3443,2.1928,2.2670,4524474,10272754.3248
2020-10-16,2.2668,2.2708,2.1030,2.1404,5792357,12631855.5191
2020-10-17,2.1401,2.2425,2.1100,2.2062,4136722,9074383.2442
2020-10-18,2.2069,2.2649,2.1804,2.2186,3907591,8682494.9529
2020-10-19,2.2167,2.2206,2.0510,2.0578,4834438,10151983.8221
2020-10-20,2.0576,2.1083,1.8457,1.8905,6052367,11803851.5781
2020-10-21,1.8885,2.1098,1.8474,1.8933,10108189,19667366.9314
2020-10-22,1.8933,2.0905,1.8629,1.9619,6143069,12233363.1212
2020-10-23,1.9620,1.9938,1.8502,1.9645,5454719,10579795.2804
2020-10-24,1.9666,1.9734,1.8800,1.9196,4059055,7840448.7392
2020-10-25,1.9179,1.9281,1.7628,1.7937,5740317,10680638.8896
2020-10-26,1.7946,1.8723,1.6162,1.6786,6534261,11511279.0606
2020-10-27,1.6777,1.7542,1.5928,1.7135,7047936,11909663.3027
2020-10-28,1.7131,1.7287,1.4555,1.5196,10242140,15928645.1136
2020-10-29,1.5195,1.5773,1.4146,1.4325,6341465,9497821.0462
2020-10-30,1.4321,1.4677,1.3379,1.4378,7038014,9905406.7293
2020-10-31,1.4367,1.5501,1.4269,1.5472,5962596,8932850.7264
