Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 16:00:00,2709795.90000000123,27097.9590000000123,1722489893.22270078185319
2024-07-19 16:00:00,2822803.49999999996,28228.0349999999996,1857912807.6299999736728
2024-07-20 16:00:00,2923164.99999999903,29231.6499999999903,1953121464.24499935189159
2024-07-21 16:00:00,2917337.99999999841,29173.3799999999841,1959400894.3199989320924
2024-07-22 16:00:00,2785675.60000000025,27856.7560000000025,1868374910.324800167677
2024-07-23 16:00:00,2606876.20000000221,26068.7620000000221,1735673815.21720147143126
2024-07-24 16:00:00,2519135.60000000053,25191.3560000000053,1668426027.01560035101953
2024-07-25 16:00:00,2509666.10000000034,25096.6610000000034,1624790458.79930022012042
2024-07-26 16:00:00,2573316.90000000327,25733.1690000000327,1738728469.72440220946052
2024-07-27 16:00:00,2711966.0000000026,27119.660000000026,1867782511.5540017906694
2024-07-28 16:00:00,2499063.40000000484,24990.6340000000484,1690803819.855003274623
2024-07-29 16:00:00,2728795.10000000135,27287.9510000000135,1858091159.492000919242
2024-07-30 16:00:00,2724043.99999999978,27240.4399999999978,1804049895.83599985430082
2024-07-31 16:00:00,2572167.90000000106,25721.6790000000106,1707662268.810000703734
2024-08-01 16:00:00,2596245.80000000074,25962.4580000000074,1634422407.21140046585442
2024-08-02 16:00:00,2462301.8000000025,24623.018000000025,1562273859.1586015861925
2024-08-03 16:00:00,2369703.20000000174,23697.0320000000174,1442445446.94960105914322
2024-08-04 16:00:00,2353501.20000000081,23535.0120000000081,1390168442.31720047845161
2024-08-05 16:00:00,2163801.70000000135,21638.0170000000135,1174704141.11130073290015
2024-08-06 16:00:00,2090546.20000000264,20905.4620000000264,1177836725.08820148740504
2024-08-07 16:00:00,2209227.80000000386,22092.2780000000386,1239672832.32520216597724
2024-08-08 16:00:00,2238822.50000000315,22388.2250000000315,1331297889.0450018731223
2024-08-09 16:00:00,2015847.80000000151,20158.4780000000151,1205517301.3560009030102
2024-08-10 16:00:00,2005377.40000000183,20053.7740000000183,1213419773.32420110730189
2024-08-11 16:00:00,2028427.90000000287,20284.2790000000287,1219454341.77780172539234
2024-08-12 16:00:00,1904070.6000000009,19040.706000000009,1145943945.8334005416551
2024-08-13 16:00:00,1964832.80000000231,19648.3280000000231,1169065691.83600137443845
2024-08-14 16:00:00,2033571.30000000043,20335.7130000000043,1208463980.02410025553051
2024-08-15 16:00:00,2106005.90000000144,21060.0590000000144,1256765338.84270085932432
2024-08-16 16:00:00,2129047.90000000267,21290.4790000000267,1236766054.15790155100567
2024-08-17 16:00:00,2240234.20000000159,22402.3420000000159,1330551259.34280094435506
2024-08-18 16:00:00,2267651.09999999973,22676.5109999999973,1357322974.76489983838907
2024-08-19 16:00:00,2141000.30000000242,21410.0030000000242,1253517137.64460141686644
2024-08-20 16:00:00,2139341.40000000172,21393.4140000000172,1258283595.18960101164208
2024-08-21 16:00:00,2057078.9999999997,20570.789999999997,1224544158.3569998214151
2024-08-22 16:00:00,2246058.09999999857,22460.5809999999857,1356571925.17989913631003
2024-08-23 16:00:00,2353981.69999999973,23539.8169999999973,1448379046.21129983387197
2024-08-24 16:00:00,2603637.6000000006,26036.376000000006,1666091132.9784003839454
2024-08-26 16:00:00,2418268.99999999772,24182.6899999999772,1536945372.56399855093232
2024-08-27 16:00:00,2459970.60000000384,24599.7060000000384,1517115528.40260236820864
2024-08-28 16:00:00,2150580.10000000329,21505.8010000000329,1269362699.38420194189618
2024-08-29 16:00:00,2276287.10000000236,22762.8710000000236,1383413485.02500143429
2024-08-30 16:00:00,2347628.60000000245,23476.2860000000245,1363786753.94060142325645
2024-08-31 16:00:00,2294609.39999999921,22946.0939999999921,1354094899.1279995338052
2024-09-01 16:00:00,2383557.90000000025,23835.5790000000025,1387426149.5478001455205
2024-09-02 16:00:00,2446925.0000000005,24469.250000000005,1432417660.3750002926975
2024-09-03 16:00:00,2465202.49999999949,24652.0249999999949,1422370073.24749970574071
2024-09-04 16:00:00,2378353.79999999939,23783.5379999999939,1382653603.27619964537711
2024-09-05 16:00:00,2585444.59999999772,25854.4459999999772,1447443061.19779872355796
2024-09-06 16:00:00,2675983.69999999938,26759.8369999999938,1446114971.3984996649489
2024-09-07 16:00:00,2681628.49999999851,26816.2849999999851,1469122128.83949918370797
2024-09-08 16:00:00,2627730.99999999564,26277.3099999999564,1410043082.33099766041964
2024-09-09 16:00:00,2592418.19999999901,25924.1819999999901,1436044137.7079994515994
2024-09-10 16:00:00,2451638.89999999811,24516.3889999999811,1388162074.68019892984798
2024-09-11 16:00:00,2440090.99999999805,24400.9099999999805,1383499875.81699889437535
2024-09-12 16:00:00,2535316.49999999887,25353.1649999999887,1457533173.31799935037204
2024-09-13 16:00:00,2695115.49999999807,26951.1549999999807,1607798102.6799988486392
2024-09-14 16:00:00,2704897.69999999622,27048.9769999999622,1619581841.95429773669098
