Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 16:00:00,1875391.92000000035,1875391.92000000035,293311296.28800005474
2024-07-19 16:00:00,2229026.78000000013,2229026.78000000013,376148269.1250000219375
2024-07-20 16:00:00,2144372.50000000024,2144372.50000000024,362977933.0750000406248
2024-07-21 16:00:00,2201156.26999999874,2201156.26999999874,386104821.3206997789834
2024-07-22 16:00:00,2276042.05999999935,2276042.05999999935,409095799.864399883169
2024-07-23 16:00:00,2221386.4599999997,2221386.4599999997,392341276.565199947014
2024-07-24 16:00:00,2450357.8099999998,2450357.8099999998,435771632.930399964432
2024-07-25 16:00:00,2337757.39000000118,2337757.39000000118,398049950.7953002009186
2024-07-26 16:00:00,2431651.22000000194,2431651.22000000194,441441962.4788003521876
2024-07-27 16:00:00,2594089.13000000118,2594089.13000000118,473576911.5728002154208
2024-07-28 16:00:00,2663474.15000000046,2663474.15000000046,490638573.1715000847366
2024-07-29 16:00:00,2724078.04000000116,2724078.04000000116,509429834.2604002169316
2024-07-30 16:00:00,2691018.73999999928,2691018.73999999928,487155122.5021998696584
2024-07-31 16:00:00,2648781.42000000009,2648781.42000000009,477151484.9988000162126
2024-08-01 16:00:00,2027119.58999999956,2027119.58999999956,329852899.6847999284032
2024-08-02 16:00:00,1951353.31000000066,1951353.31000000066,305620955.4122001033692
2024-08-03 16:00:00,1840425.41000000015,1840425.41000000015,268904556.6551000219165
2024-08-04 16:00:00,1836131.27000000016,1836131.27000000016,248189863.7659000216272
2024-08-05 16:00:00,1600892.26999999964,1600892.26999999964,208580253.8582999530956
2024-08-06 16:00:00,1875711.39999999958,1875711.39999999958,273534993.4619999387514
2024-08-07 16:00:00,2129131.37999999915,2129131.37999999915,316090844.674799873809
2024-08-08 16:00:00,2086865.58999999969,2086865.58999999969,334754109.2918999502729
2024-08-09 16:00:00,2350227.18000000083,2350227.18000000083,355283842.8006001254711
2024-08-10 16:00:00,2275069.69999999964,2275069.69999999964,350246980.314999944578
2024-08-11 16:00:00,2327558.64000000005,2327558.64000000005,346131245.3544000074355
2024-08-12 16:00:00,1674791.60999999958,1674791.60999999958,247282981.216499937987
2024-08-13 16:00:00,1661803.3499999999,1661803.3499999999,242822705.501999985388
2024-08-14 16:00:00,1609776.66000000033,1609776.66000000033,236122040.4888000484044
2024-08-15 16:00:00,1654979.6299999997,1654979.6299999997,241527727.202199956218
2024-08-16 16:00:00,1684631.7299999989,1684631.7299999989,232428639.788099848233
2024-08-17 16:00:00,1624289.5199999997,1624289.5199999997,227644176.227999957955
2024-08-18 16:00:00,1604836.96000000017,1604836.96000000017,233872890.1808000247741
2024-08-19 16:00:00,1622912.93999999995,1622912.93999999995,233569630.324799992804
2024-08-20 16:00:00,1675302.48999999964,1675302.48999999964,238026977.7791999488512
2024-08-21 16:00:00,1835924.09999999938,1835924.09999999938,257635228.9529999129954
2024-08-22 16:00:00,1760559.49999999927,1760559.49999999927,251249446.2449998958217
2024-08-23 16:00:00,1728184.64999999943,1728184.64999999943,249498017.9204999177091
2024-08-24 16:00:00,1552941.38000000026,1552941.38000000026,247554385.3858000414466
2024-08-25 16:00:00,1546986.28000000016,1546986.28000000016,246465854.1296000254912
2024-08-26 16:00:00,1563474.54000000048,1563474.54000000048,246434856.9948000756576
2024-08-27 16:00:00,1595415.43000000036,1595415.43000000036,245390847.2883000553716
2024-08-28 16:00:00,1491494.78000000082,1491494.78000000082,215088462.2238001182522
2024-08-29 16:00:00,1452251.2000000004,1452251.2000000004,212188422.832000058444
2024-08-30 16:00:00,1780155.35000000002,1780155.35000000002,237348112.8155000026666
2024-08-31 16:00:00,1689630.6200000003,1689630.6200000003,230702164.854800040962
2024-09-01 16:00:00,1861586.61999999976,1861586.61999999976,249862156.1363999677872
2024-09-02 16:00:00,1714052.72999999914,1714052.72999999914,227214829.8887998859984
2024-09-03 16:00:00,1696156.74000000026,1696156.74000000026,220042413.8802000337298
2024-09-04 16:00:00,1753159.51000000033,1753159.51000000033,234607805.6282000441606
2024-09-05 16:00:00,1683162.26000000001,1683162.26000000001,219854654.4012000013062
2024-09-06 16:00:00,1653964.25999999955,1653964.25999999955,211905900.991199942346
2024-09-07 16:00:00,1791579.12000000021,1791579.12000000021,230880801.1944000270627
2024-09-08 16:00:00,1786093.24000000092,1786093.24000000092,226172986.9812001164996
2024-09-09 16:00:00,1844280.02000000043,1844280.02000000043,236787111.7678000552077
2024-09-10 16:00:00,1590936.32,1590936.32,213933206.9504
2024-09-11 16:00:00,1756226.91000000001,1756226.91000000001,230188661.0937000013107
2024-09-12 16:00:00,1865132.89000000009,1865132.89000000009,249069846.1306000120186
2024-09-13 16:00:00,1876465.98999999999,1876465.98999999999,256362783.5537999986338
2024-09-14 16:00:00,1640911.50999999983,1640911.50999999983,225526877.9343999766352
