Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 15:00:00,1842310.98999999955,1842310.98999999955,291158828.859599928882
2024-07-18 16:00:00,1875391.92000000035,1875391.92000000035,293311296.28800005474
2024-07-18 17:00:00,1904653.56000000059,1904653.56000000059,299925796.0932000929073
2024-07-18 18:00:00,1907424.6900000005,1907424.6900000005,297863439.59040007808
2024-07-18 19:00:00,1910027.67000000035,1910027.67000000035,299053032.2919000547995
2024-07-18 20:00:00,1908158.35000000055,1908158.35000000055,299523616.1995000863335
2024-07-18 21:00:00,1913714.84000000044,1913714.84000000044,302347807.5716000695156
2024-07-18 22:00:00,1919001.45000000016,1919001.45000000016,304142539.8105000253584
2024-07-18 23:00:00,1942989.88000000056,1942989.88000000056,310820091.1036000895832
2024-07-19 00:00:00,1948740.73999999987,1948740.73999999987,310220038.4005999793053
2024-07-19 01:00:00,1969203.48000000038,1969203.48000000038,311212917.9792000600552
2024-07-19 02:00:00,1979750.11000000021,1979750.11000000021,313889379.9405000332955
2024-07-19 03:00:00,2002981.95000000059,2002981.95000000059,318093563.4795000936979
2024-07-19 04:00:00,2032736.1800000002,2032736.1800000002,328978023.371200032368
2024-07-19 05:00:00,2033112.30999999989,2033112.30999999989,327127770.678999982301
2024-07-19 06:00:00,2069448.19999999971,2069448.19999999971,335809359.4139999529417
2024-07-19 07:00:00,2128348.42000000044,2128348.42000000044,350049464.6374000723668
2024-07-19 08:00:00,2123024.75999999968,2123024.75999999968,342910959.2351999483136
2024-07-19 09:00:00,2114182.47999999973,2114182.47999999973,342074725.263999956314
2024-07-19 10:00:00,2115240.82000000033,2115240.82000000033,340638381.6528000531432
2024-07-19 11:00:00,2136817.35000000063,2136817.35000000063,346442196.9555001021419
2024-07-19 12:00:00,2152658.22999999977,2152658.22999999977,350022228.197999962602
2024-07-19 13:00:00,2153665.79000000021,2153665.79000000021,353395019.4811000344589
2024-07-19 14:00:00,2175413.48999999982,2175413.48999999982,363294052.82999996994
2024-07-19 15:00:00,2201142.60000000011,2201142.60000000011,371244710.9160000185526
2024-07-19 16:00:00,2229026.78000000013,2229026.78000000013,376148269.1250000219375
2024-07-19 17:00:00,2191944.76000000032,2191944.76000000032,371271603.4488000542016
2024-07-19 18:00:00,2158407.3999999999,2158407.3999999999,368008461.69999998295
2024-07-19 19:00:00,2179388.98999999983,2179388.98999999983,370212807.7312999711221
2024-07-19 20:00:00,2204016.25999999974,2204016.25999999974,375696611.6795999556804
2024-07-19 21:00:00,2186141.84999999986,2186141.84999999986,369698448.2534999763246
2024-07-19 22:00:00,2191083.85999999964,2191083.85999999964,368277375.1887999394912
2024-07-19 23:00:00,2195591.63000000008,2195591.63000000008,370396307.981000013496
2024-07-20 00:00:00,2203582.47000000009,2203582.47000000009,372780046.4499000152253
2024-07-20 01:00:00,2210633.71000000001,2210633.71000000001,374437137.7998000016938
2024-07-20 02:00:00,2209526.42999999999,2209526.42999999999,376061398.385999998298
2024-07-20 03:00:00,2215602.81999999995,2215602.81999999995,378712990.0225999914535
2024-07-20 04:00:00,2207747.16000000001,2207747.16000000001,374367685.9212000016957
2024-07-20 05:00:00,2213020.19999999951,2213020.19999999951,376987991.0699999165285
2024-07-20 06:00:00,2212342.14999999976,2212342.14999999976,375987548.392499959212
2024-07-20 07:00:00,2188958.0599999997,2188958.0599999997,370721937.041599949192
2024-07-20 08:00:00,2187936.20999999973,2187936.20999999973,368820406.9196999544861
2024-07-20 09:00:00,2190836.04000000012,2190836.04000000012,369594039.948000020244
2024-07-20 10:00:00,2190391.82000000024,2190391.82000000024,370307641.0892000405744
2024-07-20 11:00:00,2192090.44999999989,2192090.44999999989,369717975.2969999814474
2024-07-20 12:00:00,2181905.49999999986,2181905.49999999986,366560123.99999997648
2024-07-20 13:00:00,2176384.25000000004,2176384.25000000004,366416052.3300000067344
2024-07-20 14:00:00,2157559.25,2157559.25,362901465.85
2024-07-20 15:00:00,2154159.13000000032,2154159.13000000032,364289850.4743000541152
2024-07-20 16:00:00,2144372.50000000024,2144372.50000000024,362977933.0750000406248
2024-07-20 17:00:00,2140891.98000000046,2140891.98000000046,363159506.5674000780298
2024-07-20 18:00:00,2105059.33000000022,2105059.33000000022,366553981.1329000383086
2024-07-20 19:00:00,2109001.75000000049,2109001.75000000049,366080523.7650000850542
2024-07-20 20:00:00,2109426.7900000009,2109426.7900000009,363791744.203400155214
2024-07-20 21:00:00,2128344.97000000045,2128344.97000000045,369565820.590800078138
2024-07-20 22:00:00,2121377.74000000059,2121377.74000000059,370137988.0752001029432
2024-07-20 23:00:00,2123399.94000000012,2123399.94000000012,368091379.599000020802
2024-07-21 00:00:00,2148552.30000000055,2148552.30000000055,373010164.8030000954855
2024-07-21 01:00:00,2150252.90999999985,2150252.90999999985,371972250.9008999740515
2024-07-21 02:00:00,2170854.5199999999,2170854.5199999999,377837229.205999982595
2024-07-21 03:00:00,2213101.27999999969,2213101.27999999969,384393561.3231999461561
2024-07-21 04:00:00,2224186.84999999959,2224186.84999999959,385140194.9459999290044
2024-07-21 05:00:00,2222857.98999999972,2222857.98999999972,384887860.968499951518
2024-07-21 06:00:00,2220683.03999999967,2220683.03999999967,384577888.8671999428506
2024-07-21 07:00:00,2200426.38999999881,2200426.38999999881,377021057.6625997961054
2024-07-21 08:00:00,2187524.81999999932,2187524.81999999932,374832377.906999883482
2024-07-21 09:00:00,2188517.59999999908,2188517.59999999908,375265112.8719998422476
2024-07-21 10:00:00,2186816.9399999995,2186816.9399999995,377553944.690999913675
2024-07-21 11:00:00,2180266.64999999933,2180266.64999999933,375376509.1304998846461
2024-07-21 12:00:00,2185333.6099999995,2185333.6099999995,377844181.16899991355
2024-07-21 13:00:00,2184026.51999999981,2184026.51999999981,377312421.5951999671756
2024-07-21 14:00:00,2180578.74999999883,2180578.74999999883,375212185.5124997986781
2024-07-21 15:00:00,2186787.31999999955,2186787.31999999955,380632200.919199921673
2024-07-21 16:00:00,2201156.26999999874,2201156.26999999874,386104821.3206997789834
2024-07-21 17:00:00,2204809.47999999928,2204809.47999999928,390118989.3911998726032
2024-07-21 18:00:00,2200426.89999999952,2200426.89999999952,381972105.5709999166768
2024-07-21 19:00:00,2205112.37999999951,2205112.37999999951,385850564.2523999142598
2024-07-21 20:00:00,2217413.15999999974,2217413.15999999974,394788239.0063999537096
2024-07-21 21:00:00,2212077.70999999947,2212077.70999999947,403217524.9787999033916
2024-07-21 22:00:00,2220891.41999999942,2220891.41999999942,409332497.6201998931002
2024-07-21 23:00:00,2263340.03999999978,2263340.03999999978,416499834.1607999595156
2024-07-22 00:00:00,2287060.58000000026,2287060.58000000026,421825453.3752000479544
2024-07-22 01:00:00,2278201.41000000045,2278201.41000000045,416979204.0723000823635
2024-07-22 02:00:00,2301724.67000000076,2301724.67000000076,417532855.138000137864
2024-07-22 03:00:00,2289163.11000000058,2289163.11000000058,417428893.108500105763
2024-07-22 04:00:00,2278285.34000000074,2278285.34000000074,412346863.6866001339326
2024-07-22 05:00:00,2275617.71000000106,2275617.71000000106,412569490.823000192178
2024-07-22 06:00:00,2287206.54000000044,2287206.54000000044,410210492.949000078914
2024-07-22 07:00:00,2298177.02000000055,2298177.02000000055,412591720.4006000987415
2024-07-22 08:00:00,2304613.46000000044,2304613.46000000044,411235225.8024000785136
2024-07-22 09:00:00,2317876.95999999996,2317876.95999999996,411029121.3167999929068
2024-07-22 10:00:00,2315343.53000000041,2315343.53000000041,414284417.8229000733613
2024-07-22 11:00:00,2291139.67000000011,2291139.67000000011,411236659.3683000197439
2024-07-22 12:00:00,2269137.20000000024,2269137.20000000024,409828869.6920000433464
2024-07-22 13:00:00,2266233.10999999982,2266233.10999999982,408783128.3817999675316
2024-07-22 14:00:00,2261338.48999999973,2261338.48999999973,403829827.5441999517834
2024-07-22 15:00:00,2281973.39999999997,2281973.39999999997,406853037.4859999946513
2024-07-22 16:00:00,2276042.05999999935,2276042.05999999935,409095799.864399883169
2024-07-22 17:00:00,2294376.23999999909,2294376.23999999909,410831009.5343998370554
2024-07-22 18:00:00,2289052.46999999938,2289052.46999999938,414776307.563999887656
2024-07-22 19:00:00,2278308.51999999912,2278308.51999999912,412715588.397999840588
2024-07-22 20:00:00,2271586.41999999893,2271586.41999999893,415245997.575999804404
