Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 16:00:00,3790984,37909.84,21430432.552
2024-07-19 16:00:00,3992252,39922.52,23614170.58
2024-07-20 16:00:00,3779441,37794.41,22483894.509
2024-07-21 16:00:00,3780019,37800.19,22634753.772
2024-07-22 16:00:00,3910164,39101.64,23152081.044
2024-07-23 16:00:00,3782643,37826.43,22143592.122
2024-07-24 16:00:00,3737226,37372.26,21806713.71
2024-07-25 16:00:00,3722976,37229.76,21027368.448
2024-07-26 16:00:00,3735573,37355.73,21614025.378
2024-07-27 16:00:00,3572896,35728.96,20912160.288
2024-07-28 16:00:00,3580394,35803.94,20784187.17
2024-07-29 16:00:00,3577173,35771.73,20844187.071
2024-07-30 16:00:00,3748479,37484.79,21520017.939
2024-07-31 16:00:00,3821644,38216.44,22433050.28
2024-08-01 16:00:00,3857953,38579.53,21577531.129
2024-08-02 16:00:00,3730382,37303.82,20841644.234
2024-08-03 16:00:00,3868265,38682.65,20559828.475
2024-08-04 16:00:00,4097518,40975.18,20549052.77
2024-08-05 16:00:00,4373055,43730.55,20194767.99
2024-08-06 16:00:00,5133684,51336.84,25042110.552
2024-08-07 16:00:00,4259168,42591.68,20473820.576
2024-08-08 16:00:00,3438181,34381.81,17153085.009
2024-08-09 16:00:00,3283132,32831.32,16468190.112
2024-08-10 16:00:00,3266379,32663.79,16798987.197
2024-08-11 16:00:00,3369580,33695.8,17525185.58
2024-08-12 16:00:00,3355123,33551.23,17439929.354
2024-08-13 16:00:00,3692355,36923.55,19096860.06
2024-08-14 16:00:00,3499809,34998.09,18366997.632
2024-08-15 16:00:00,3604977,36049.77,19146032.847
2024-08-16 16:00:00,3560285,35602.85,18331907.465
2024-08-17 16:00:00,3975073,39750.73,21234839.966
2024-08-18 16:00:00,3863773,38637.73,20818008.924
2024-08-19 16:00:00,3832146,38321.46,20831545.656
2024-08-20 16:00:00,4374039,43740.39,24564603.024
2024-08-21 16:00:00,4170171,41701.71,23106917.511
2024-08-22 16:00:00,4808365,48083.65,27907750.46
2024-08-23 16:00:00,4557458,45574.58,26451486.232
2024-08-24 16:00:00,4608033,46080.33,26662078.938
2024-08-25 16:00:00,4761890,47618.9,27380867.5
2024-08-26 16:00:00,4917818,49178.18,27480766.984
2024-08-27 16:00:00,5425352,54253.52,29937092.336
2024-08-28 16:00:00,4977352,49773.52,26554172.92
2024-08-29 16:00:00,5073152,50731.52,27476191.232
2024-08-30 16:00:00,5142857,51428.57,26922856.395
2024-08-31 16:00:00,5197436,51974.36,27842664.652
2024-09-01 16:00:00,5385886,53858.86,28033536.63
2024-09-02 16:00:00,5610919,56109.19,29294608.099
2024-09-03 16:00:00,5384515,53845.15,28096399.27
2024-09-04 16:00:00,5544197,55441.97,28208874.336
2024-09-05 16:00:00,5453263,54532.63,27348113.945
2024-09-06 16:00:00,4933236,49332.36,24296187.3
2024-09-07 16:00:00,4485731,44857.31,22334454.649
2024-09-08 16:00:00,4532707,45327.07,22273722.198
2024-09-09 16:00:00,4266780,42667.8,21594173.58
2024-09-10 16:00:00,4170311,41703.11,21447909.473
2024-09-11 16:00:00,4176075,41760.75,21623716.35
2024-09-12 16:00:00,4417156,44171.56,23640618.912
2024-09-13 16:00:00,4791193,47911.93,26519253.255
2024-09-14 16:00:00,4671888,46718.88,25742102.88
