Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 16:00:00,3053821.79999999821,305382.179999999821,1035309720.45779939315241
2024-07-19 16:00:00,3080292.69999999835,308029.269999999835,1067142763.5733994283707
2024-07-20 16:00:00,3026736.09999999822,302673.609999999822,1060177880.48309937651762
2024-07-21 16:00:00,3040828.49999999886,304082.849999999886,1064137933.574999601057
2024-07-22 16:00:00,3129613.29999999965,312961.329999999965,1081760225.98489987902145
2024-07-23 16:00:00,3220985.39999999674,322098.539999999674,1113172554.239998873344
2024-07-24 16:00:00,3375604.79999999645,337560.479999999645,1153602813.58559878679815
2024-07-25 16:00:00,3449166.19999999816,344916.619999999816,1082858830.15759942233568
2024-07-26 16:00:00,3060631.19999999869,306063.119999999869,996330335.16719957355439
2024-07-27 16:00:00,3001861.9999999992,300186.19999999992,985012985.5079997374928
2024-07-28 16:00:00,2913322.19999999992,291332.219999999992,952365027.179999973848
2024-07-29 16:00:00,3009449.00000000002,300944.900000000002,995558833.13900000661622
2024-07-30 16:00:00,3034990.79999999967,303499.079999999967,1008102544.1279998903872
2024-07-31 16:00:00,3097494.29999999825,309749.429999999825,1023300606.925199421863
2024-08-01 16:00:00,3220602.49999999947,322060.249999999947,1004428625.28999983470572
2024-08-02 16:00:00,3169691.29999999873,316969.129999999873,963494234.15229961395683
2024-08-03 16:00:00,3109274.69999999986,310927.469999999986,913986844.4384999588463
2024-08-04 16:00:00,3374258.09999999828,337425.809999999828,953973624.29009951371988
2024-08-05 16:00:00,2691715.6000000012,269171.56000000012,659152699.5592002938584
2024-08-06 16:00:00,2740699.20000000005,274069.920000000005,692188249.25280001262795
2024-08-07 16:00:00,3115529.59999999724,311552.959999999724,751119915.73439933459436
2024-08-08 16:00:00,3002696.59999999821,300269.659999999821,752740005.26079955126848
2024-08-09 16:00:00,2694978.20000000043,269497.820000000043,689375423.560000109994
2024-08-10 16:00:00,2663248.79999999994,266324.879999999994,692119771.64639998440732
2024-08-11 16:00:00,2728179.20000000251,272817.920000000251,712976895.76960065595838
2024-08-12 16:00:00,2744653.80000000142,274465.380000000142,737908408.09140038177126
2024-08-13 16:00:00,2696970.59999999945,269697.059999999945,715366057.7087998541136
2024-08-14 16:00:00,2851197.89999999894,285119.789999999894,762624158.3024997164765
2024-08-15 16:00:00,2836808.70000000021,283680.870000000021,756891766.05570005603031
2024-08-16 16:00:00,2865692.499999999,286569.2499999999,736365479.107499743041
2024-08-17 16:00:00,2801312.59999999759,280131.259999999759,730246168.5679993717612
2024-08-18 16:00:00,2840144.99999999905,284014.499999999905,758824260.8099997461809
2024-08-19 16:00:00,2962567.29999999808,296256.729999999808,765613304.77169950381632
2024-08-20 16:00:00,3046734.99999999958,304673.499999999958,784534262.49999989185
2024-08-21 16:00:00,2958111.09999999895,295811.109999999895,770002235.5521997266829
2024-08-22 16:00:00,2968762.1999999986,296876.21999999986,771578327.0177996361414
2024-08-23 16:00:00,2905311.89999999783,290531.189999999783,775886785.39019942048414
2024-08-24 16:00:00,2979088.09999999934,297908.809999999934,822672199.72689981774166
2024-08-25 16:00:00,2819656.19999999987,281965.619999999987,779152778.08979996407723
2024-08-26 16:00:00,2960108.89999999925,296010.889999999925,806037653.469999795775
2024-08-27 16:00:00,3195921.99999999832,319592.199999999832,824384883.97799956664568
2024-08-28 16:00:00,2926415.39999999916,292641.539999999916,730960038.6119997901848
2024-08-29 16:00:00,2980458.49999999872,298045.849999999872,767843601.52099967023872
2024-08-30 16:00:00,3156516.59999999901,315651.659999999901,773005663.20719975755692
2024-08-31 16:00:00,3036835.29999999665,303683.529999999665,764915038.52869915620535
2024-09-01 16:00:00,3025419.39999999827,302541.939999999827,750095257.26139957107937
2024-09-02 16:00:00,3152637.1999999999,315263.71999999999,792446886.591999974864
2024-09-03 16:00:00,3306279.09999999731,330627.909999999731,807839703.89849934273885
2024-09-04 16:00:00,3116280.00000000074,311628.000000000074,765358368.000000181744
2024-09-05 16:00:00,3226526.29999999836,322652.629999999836,765173938.57129961107236
2024-09-06 16:00:00,3310168.59999999793,331016.859999999793,758035229.73719952596586
2024-09-07 16:00:00,3326865.1999999995,332686.51999999995,765541624.3067998849455
2024-09-08 16:00:00,3323241.69999999935,332324.169999999935,745449638.6937998541959
2024-09-09 16:00:00,3307243.7999999987,330724.37999999987,758354310.5837997019087
2024-09-10 16:00:00,3320510.89999999791,332051.089999999791,772397322.49259951383674
2024-09-11 16:00:00,3246823.79999999894,324682.379999999894,755000172.3329997535129
2024-09-12 16:00:00,3344615.69999999738,334461.569999999738,776736827.0894993915443
2024-09-13 16:00:00,3095969.49999999814,309596.949999999814,745295833.70449955224034
2024-09-14 16:00:00,3465756.89999999788,346575.689999999788,838442840.76179948712536
