Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 16:00:00,3053821.79999999821,305382.179999999821,1035309720.45779939315241
2024-07-18 20:00:00,3089722.39999999951,308972.239999999951,1052220411.93199983312805
2024-07-19 00:00:00,3056652.59999999937,305665.259999999937,1047123594.48719978417964
2024-07-19 04:00:00,3047307.19999999943,304730.719999999943,1044976490.40959980453674
2024-07-19 08:00:00,3006954.59999999961,300695.459999999961,1019989069.8659998677081
2024-07-19 12:00:00,3036474.69999999911,303647.469999999911,1033615987.879999697044
2024-07-19 16:00:00,3080292.69999999835,308029.269999999835,1067142763.5733994283707
2024-07-19 20:00:00,3093850.99999999752,309385.099999999752,1089886361.024999126358
2024-07-20 00:00:00,3020131.69999999543,302013.169999999543,1058377973.07969839848463
2024-07-20 04:00:00,3048303.39999999712,304830.339999999712,1065528356.86319899330176
2024-07-20 08:00:00,3108258.19999999783,310825.819999999783,1084415337.33239924292606
2024-07-20 12:00:00,3129016.29999999817,312901.629999999817,1090590470.21829936216997
2024-07-20 16:00:00,3026736.09999999822,302673.609999999822,1060177880.48309937651762
2024-07-20 20:00:00,3009985.29999999983,300998.529999999983,1058006822.96469994024517
2024-07-21 00:00:00,3006927.10000000005,300692.710000000005,1057566330.3410000175855
2024-07-21 04:00:00,3018020.59999999905,301802.059999999905,1059563654.22739966647495
2024-07-21 08:00:00,3103919.89999999953,310391.989999999953,1081939567.38279983617116
2024-07-21 12:00:00,3094842.89999999904,309484.289999999904,1082885530.709999664096
2024-07-21 16:00:00,3040828.49999999886,304082.849999999886,1064137933.574999601057
2024-07-21 20:00:00,2988928.89999999831,298892.889999999831,1043790761.52909940981989
2024-07-22 00:00:00,2975746.59999999829,297574.659999999829,1052131749.61539939539701
2024-07-22 04:00:00,3058145.69999999789,305814.569999999789,1075846482.82289925770833
2024-07-22 08:00:00,3078641.59999999891,307864.159999999891,1070896244.63519962084677
2024-07-22 12:00:00,3116971.49999999797,311697.149999999797,1091463676.21199928915896
2024-07-22 16:00:00,3129613.29999999965,312961.329999999965,1081760225.98489987902145
2024-07-22 20:00:00,3074857.29999999731,307485.729999999731,1075855670.98239905880128
2024-07-23 00:00:00,3120833.1999999976,312083.31999999976,1073575983.2995991743928
2024-07-23 04:00:00,3130180.19999999766,313018.019999999766,1087649974.45439918691552
2024-07-23 08:00:00,3150927.29999999771,315092.729999999771,1087838744.76119920939124
2024-07-23 12:00:00,3141479.29999999593,314147.929999999593,1104358774.60129856922813
2024-07-23 16:00:00,3220985.39999999674,322098.539999999674,1113172554.239998873344
2024-07-23 20:00:00,3090497.69999999747,309049.769999999747,1068613751.71979912519178
2024-07-24 00:00:00,3066271.59999999814,306627.159999999814,1067908807.76159935220664
2024-07-24 04:00:00,3028724.59999999759,302872.459999999759,1044576827.2939991688151
2024-07-24 08:00:00,3097327.59999999786,309732.759999999786,1067627142.42679926235698
2024-07-24 12:00:00,3154801.89999999676,315480.189999999676,1091747590.71209887876884
2024-07-24 16:00:00,3375604.79999999645,337560.479999999645,1153602813.58559878679815
2024-07-24 20:00:00,3424816.09999999744,342481.609999999744,1151926620.78669913895168
2024-07-25 00:00:00,3378470.29999999689,337847.029999999689,1127172560.07019896239826
2024-07-25 04:00:00,3429082.69999999855,342908.269999999855,1086518569.8257995405617
2024-07-25 08:00:00,3465068.89999999927,346506.889999999927,1098908485.87709976848853
2024-07-25 12:00:00,3577928.8999999972,357792.88999999972,1135767016.2292991111764
2024-07-25 16:00:00,3449166.19999999816,344916.619999999816,1082858830.15759942233568
2024-07-25 20:00:00,3385265.39999999619,338526.539999999619,1056463470.23579881098663
2024-07-26 00:00:00,3159160.29999999867,315916.029999999867,1003030236.08969957772633
2024-07-26 04:00:00,3168250.70000000087,316825.070000000087,1025588097.59560028162596
2024-07-26 08:00:00,3075923.59999999973,307592.359999999973,999958154.97119991222516
2024-07-26 12:00:00,3067126.49999999927,306712.649999999927,995865303.2849997629763
2024-07-26 16:00:00,3060631.19999999869,306063.119999999869,996330335.16719957355439
2024-07-26 20:00:00,2996241.19999999915,299624.119999999915,980436037.9463997218613
2024-07-27 00:00:00,2996721.19999999955,299672.119999999955,981683911.0231998525863
2024-07-27 04:00:00,3081045.29999999974,308104.529999999974,999786875.66879991563104
2024-07-27 08:00:00,3074577.20000000137,307457.720000000137,1005970914.0680004482503
2024-07-27 12:00:00,3019542.70000000094,301954.270000000094,990225813.49530030826266
2024-07-27 16:00:00,3001861.9999999992,300186.19999999992,985012985.5079997374928
2024-07-27 20:00:00,2964606.59999999756,296460.659999999756,967179186.39719920396952
2024-07-28 00:00:00,2823140.49999999918,282314.049999999918,916608788.11849973376486
2024-07-28 04:00:00,2861247.1999999993,286124.71999999993,926786580.551999773263
2024-07-28 08:00:00,2919548.0999999991,291954.80999999991,942342540.236999709507
2024-07-28 12:00:00,2885247.30000000096,288524.730000000096,939465373.3530003125856
2024-07-28 16:00:00,2913322.19999999992,291332.219999999992,952365027.179999973848
2024-07-28 20:00:00,2902283.89999999836,290228.389999999836,949548930.41469946343628
2024-07-29 00:00:00,2855339.39999999994,285533.939999999994,934121429.37059998037106
2024-07-29 04:00:00,2972200.30000000041,297220.030000000041,995404741.47150013731105
2024-07-29 08:00:00,3093104.30000000066,309310.430000000066,1042199842.15490022238238
2024-07-29 12:00:00,3231438.20000000105,323143.820000000105,1090849518.9268003544527
2024-07-29 16:00:00,3009449.00000000002,300944.900000000002,995558833.13900000661622
2024-07-29 20:00:00,2973334.80000000003,297333.480000000003,984483045.61920000993312
2024-07-30 00:00:00,2930451.1999999998,293045.11999999998,972528839.743999933626
2024-07-30 04:00:00,2943704.89999999985,294370.489999999985,977619115.81449995018425
2024-07-30 08:00:00,3024321.39999999957,302432.139999999957,1010646555.20219985630561
2024-07-30 12:00:00,3048852.19999999981,304885.219999999981,1017033068.02379993661999
2024-07-30 16:00:00,3034990.79999999967,303499.079999999967,1008102544.1279998903872
2024-07-30 20:00:00,3061113.89999999805,306111.389999999805,1000929145.2497993623851
2024-07-31 00:00:00,3060974.59999999884,306097.459999999884,1003932327.35879961954552
2024-07-31 04:00:00,3064902.7999999983,306490.27999999983,1009888537.5027994398483
2024-07-31 08:00:00,3076970.59999999902,307697.059999999902,1020852689.90319967486344
2024-07-31 12:00:00,3104591.59999999782,310459.159999999782,1031811018.259999275477
2024-07-31 16:00:00,3097494.29999999825,309749.429999999825,1023300606.925199421863
2024-07-31 20:00:00,3099006.0999999978,309900.60999999978,1010514612.0696992826306
2024-08-01 00:00:00,3063764.39999999819,306376.439999999819,990092231.03279941507678
2024-08-01 04:00:00,3142439.39999999799,314243.939999999799,999748240.47359936053056
2024-08-01 08:00:00,3174477.79999999833,317447.779999999833,1005252361.49259947116611
2024-08-01 12:00:00,3207968.89999999847,320796.889999999847,1023197720.49949951199885
2024-08-01 16:00:00,3220602.49999999947,322060.249999999947,1004428625.28999983470572
2024-08-01 20:00:00,3192239.89999999919,319223.989999999919,1000629942.33429974609983
