Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18 16:00:00,1875391.92000000035,1875391.92000000035,293311296.28800005474
2024-07-18 20:00:00,1908158.35000000055,1908158.35000000055,299523616.1995000863335
2024-07-19 00:00:00,1948740.73999999987,1948740.73999999987,310220038.4005999793053
2024-07-19 04:00:00,2032736.1800000002,2032736.1800000002,328978023.371200032368
2024-07-19 08:00:00,2123024.75999999968,2123024.75999999968,342910959.2351999483136
2024-07-19 12:00:00,2152658.22999999977,2152658.22999999977,350022228.197999962602
2024-07-19 16:00:00,2229026.78000000013,2229026.78000000013,376148269.1250000219375
2024-07-19 20:00:00,2204016.25999999974,2204016.25999999974,375696611.6795999556804
2024-07-20 00:00:00,2203582.47000000009,2203582.47000000009,372780046.4499000152253
2024-07-20 04:00:00,2207747.16000000001,2207747.16000000001,374367685.9212000016957
2024-07-20 08:00:00,2187936.20999999973,2187936.20999999973,368820406.9196999544861
2024-07-20 12:00:00,2181905.49999999986,2181905.49999999986,366560123.99999997648
2024-07-20 16:00:00,2144372.50000000024,2144372.50000000024,362977933.0750000406248
2024-07-20 20:00:00,2109426.7900000009,2109426.7900000009,363791744.203400155214
2024-07-21 00:00:00,2148552.30000000055,2148552.30000000055,373010164.8030000954855
2024-07-21 04:00:00,2224186.84999999959,2224186.84999999959,385140194.9459999290044
2024-07-21 08:00:00,2187524.81999999932,2187524.81999999932,374832377.906999883482
2024-07-21 12:00:00,2185333.6099999995,2185333.6099999995,377844181.16899991355
2024-07-21 16:00:00,2201156.26999999874,2201156.26999999874,386104821.3206997789834
2024-07-21 20:00:00,2217413.15999999974,2217413.15999999974,394788239.0063999537096
2024-07-22 00:00:00,2287060.58000000026,2287060.58000000026,421825453.3752000479544
2024-07-22 04:00:00,2278285.34000000074,2278285.34000000074,412346863.6866001339326
2024-07-22 08:00:00,2304613.46000000044,2304613.46000000044,411235225.8024000785136
2024-07-22 12:00:00,2269137.20000000024,2269137.20000000024,409828869.6920000433464
2024-07-22 16:00:00,2276042.05999999935,2276042.05999999935,409095799.864399883169
2024-07-22 20:00:00,2271586.41999999893,2271586.41999999893,415245997.575999804404
2024-07-23 00:00:00,2272044.49999999903,2272044.49999999903,406536922.3849998264379
2024-07-23 04:00:00,2286455.44999999824,2286455.44999999824,409549900.2039996847488
2024-07-23 08:00:00,2325930.73999999991,2325930.73999999991,409200995.0881999841663
2024-07-23 12:00:00,2258104.58999999905,2258104.58999999905,396590909.1416998331515
2024-07-23 16:00:00,2221386.4599999997,2221386.4599999997,392341276.565199947014
2024-07-23 20:00:00,2231768.95000000026,2231768.95000000026,383998165.5370000447356
2024-07-24 00:00:00,2223769.97000000018,2223769.97000000018,384867868.7079000311526
2024-07-24 04:00:00,2242056.94000000016,2242056.94000000016,389243505.3534000277776
2024-07-24 08:00:00,2270224.05999999966,2270224.05999999966,395495733.4925999407686
2024-07-24 12:00:00,2330328.31999999959,2330328.31999999959,414775137.6767999270241
2024-07-24 16:00:00,2450357.8099999998,2450357.8099999998,435771632.930399964432
2024-07-24 20:00:00,2424114.8800000006,2424114.8800000006,432049995.062400106938
2024-07-25 00:00:00,2521220.73000000094,2521220.73000000094,449281534.086000167508
2024-07-25 04:00:00,2437996.78000000099,2437996.78000000099,416068530.4748001689534
2024-07-25 08:00:00,2426663.92000000039,2426663.92000000039,410809935.0168000660231
2024-07-25 12:00:00,2431966.02000000123,2431966.02000000123,411002257.38000020787
2024-07-25 16:00:00,2337757.39000000118,2337757.39000000118,398049950.7953002009186
2024-07-25 20:00:00,2340226.10000000072,2340226.10000000072,393157984.80000012096
2024-07-26 00:00:00,2305633.45000000024,2305633.45000000024,396223108.382500041244
2024-07-26 04:00:00,2327944.54000000071,2327944.54000000071,408973296.7872001247328
2024-07-26 08:00:00,2411716.23000000082,2411716.23000000082,426246726.4902001449268
2024-07-26 12:00:00,2436753.34000000185,2436753.34000000185,435569659.5250003306875
2024-07-26 16:00:00,2431651.22000000194,2431651.22000000194,441441962.4788003521876
2024-07-26 20:00:00,2435724.62000000116,2435724.62000000116,443715954.0254002113172
2024-07-27 00:00:00,2460015.6900000019,2460015.6900000019,450428872.83900034789
2024-07-27 04:00:00,2487831.96000000165,2487831.96000000165,454352750.8548003013395
2024-07-27 08:00:00,2558612.18000000201,2558612.18000000201,475441315.2876003734982
2024-07-27 12:00:00,2537713.26000000099,2537713.26000000099,470517415.5366001835559
2024-07-27 16:00:00,2594089.13000000118,2594089.13000000118,473576911.5728002154208
2024-07-27 20:00:00,2590513.84000000181,2590513.84000000181,470566839.0360003287865
2024-07-28 00:00:00,2587353.86000000102,2587353.86000000102,475788501.3154001875678
2024-07-28 04:00:00,2615018.92000000047,2615018.92000000047,482026437.5236000866351
2024-07-28 08:00:00,2602630.77000000139,2602630.77000000139,478337509.2183002554681
2024-07-28 12:00:00,2620826.63000000257,2620826.63000000257,485639174.539000476221
2024-07-28 16:00:00,2663474.15000000046,2663474.15000000046,490638573.1715000847366
